"Phylum","Genomes.in.phylum","Class","Genomes.in.class","Order","Genomes.in.order","Family","Genomes.in.family","Genus","Genomes.in.genus"
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"Vibrionaceae",108,"Vibrio",92
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"Vibrionaceae",108,"Enterovibrio",7
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"Vibrionaceae",108,"Photobacterium",5
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"Vibrionaceae",108,"Aliivibrio",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"Vibrionaceae",108,"Grimontia",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Vibrionales",109,"unclassified",1,"unclassified",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Alteromonas",17
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Marinobacter",13
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Glaciecola",6
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Paraglaciecola",4
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Aliagarivorans",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Aliiglaciecola",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Alishewanella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Catenovulum",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Alteromonadaceae",46,"Gayadomonas",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Shewanellaceae",21,"Shewanella",21
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Pseudoalteromonadaceae",20,"Pseudoalteromonas",19
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Pseudoalteromonadaceae",20,"Algicola",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Idiomarinaceae",8,"Idiomarina",8
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Psychromonadaceae",5,"Psychromonas",5
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Moritellaceae",4,"Moritella",4
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"Colwelliaceae",2,"Colwellia",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Alteromonadales",107,"unclassified",1,"unclassified",1
"Proteobacteria",725,"Gammaproteobacteria",403,"unclassified",48,"unclassified",48,"unclassified",41
"Proteobacteria",725,"Gammaproteobacteria",403,"unclassified",48,"unclassified",48,"Candidatus Thioglobus",3
"Proteobacteria",725,"Gammaproteobacteria",403,"unclassified",48,"unclassified",48,"Sedimenticola",2
"Proteobacteria",725,"Gammaproteobacteria",403,"unclassified",48,"unclassified",48,"Candidatus Endoriftia",1
"Proteobacteria",725,"Gammaproteobacteria",403,"unclassified",48,"unclassified",48,"Candidatus Ruthia",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Marinobacterium",6
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Marinomonas",4
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Oceanospirillum",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Amphritea",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Bermanella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Neptuniibacter",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Neptunomonas",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Oceanobacter",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Pseudospirillum",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oceanospirillaceae",19,"Thalassolituus",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Alcanivoracaceae",7,"Alcanivorax",7
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"unclassified",6,"unclassified",6
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Halomonadaceae",6,"Halomonas",4
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Halomonadaceae",6,"Candidatus Carsonella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Halomonadaceae",6,"unclassified",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Kangiellaceae",3,"Kangiella",3
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Saccharospirillaceae",2,"Reinekea",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Hahellaceae",2,"Hahella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Hahellaceae",2,"Zooshikella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Oceanospirillales",46,"Oleiphilaceae",1,"Oleiphilus",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Pseudomonadales",25,"Moraxellaceae",15,"Acinetobacter",7
"Proteobacteria",725,"Gammaproteobacteria",403,"Pseudomonadales",25,"Moraxellaceae",15,"unclassified",7
"Proteobacteria",725,"Gammaproteobacteria",403,"Pseudomonadales",25,"Moraxellaceae",15,"Psychrobacter",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Pseudomonadales",25,"Pseudomonadaceae",10,"Pseudomonas",10
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Piscirickettsiaceae",15,"Thiomicrospira",9
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Piscirickettsiaceae",15,"Cycloclasticus",3
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Piscirickettsiaceae",15,"Hydrogenovibrio",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Piscirickettsiaceae",15,"Methylophaga",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Piscirickettsiaceae",15,"Sulfurivirga",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Thiotrichaceae",3,"Beggiatoa",3
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"unclassified",3,"Fangia",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"unclassified",3,"unclassified",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Thiotrichales",22,"Francisellaceae",1,"Francisella",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Halieaceae",8,"unclassified",4
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Halieaceae",8,"Pseudohaliea",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Halieaceae",8,"Congregibacter",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Halieaceae",8,"Haliea",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Cellvibrionaceae",4,"Simiduia",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Spongiibacteraceae",4,"unclassified",2
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Cellvibrionaceae",4,"Gilvimarinus",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Cellvibrionaceae",4,"Saccharophagus",1
"Proteobacteria",725,"Gammaproteobacteria",403,"Cellvibrionales",18,"Spongiibacteraceae",4,"Dasania",1
