"Phylum","Genomes.in.phylum","Class","Genomes.in.class","Order","Genomes.in.order","Family","Genomes.in.family","Genus","Genomes.in.genus"
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Shewanellaceae",14,"Shewanella",14
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Alteromonadaceae",9,"Alteromonas",5
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Alteromonadaceae",9,"Marinobacter",3
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Alteromonadaceae",9,"Glaciecola",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Pseudoalteromonadaceae",4,"Pseudoalteromonas",3
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Pseudoalteromonadaceae",4,"Algicola",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Colwelliaceae",2,"Colwellia",2
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Moritellaceae",1,"Moritella",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"Psychromonadaceae",1,"Psychromonas",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Alteromonadales",32,"unclassified",1,"unclassified",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Vibrionales",30,"Vibrionaceae",30,"Vibrio",28
"Proteobacteria",134,"Gammaproteobacteria",85,"Vibrionales",30,"Vibrionaceae",30,"Photobacterium",2
"Proteobacteria",134,"Gammaproteobacteria",85,"Oceanospirillales",5,"Oceanospirillaceae",3,"Marinobacterium",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Oceanospirillales",5,"Oceanospirillaceae",3,"Marinomonas",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Oceanospirillales",5,"Oceanospirillaceae",3,"Thalassolituus",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Oceanospirillales",5,"Alcanivoracaceae",1,"Alcanivorax",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Oceanospirillales",5,"Hahellaceae",1,"Hahella",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Chromatiales",4,"Chromatiaceae",3,"Nitrosococcus",2
"Proteobacteria",134,"Gammaproteobacteria",85,"Chromatiales",4,"Chromatiaceae",3,"Thioflavicoccus",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Pseudomonadales",4,"Pseudomonadaceae",2,"Pseudomonas",2
"Proteobacteria",134,"Gammaproteobacteria",85,"Cellvibrionales",4,"Cellvibrionaceae",2,"Saccharophagus",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Cellvibrionales",4,"Cellvibrionaceae",2,"Simiduia",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Cellvibrionales",4,"Halieaceae",2,"Congregibacter",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Cellvibrionales",4,"Halieaceae",2,"unclassified",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Pseudomonadales",4,"Moraxellaceae",2,"Acinetobacter",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Pseudomonadales",4,"Moraxellaceae",2,"Psychrobacter",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Chromatiales",4,"Woeseiaceae",1,"unclassified",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Thiotrichales",2,"Piscirickettsiaceae",2,"Hydrogenovibrio",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Thiotrichales",2,"Piscirickettsiaceae",2,"Thiomicrospira",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Enterobacterales",1,"Yersiniaceae",1,"Serratia",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Legionellales",1,"Coxiellaceae",1,"Coxiella",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Methylococcales",1,"Methylococcaceae",1,"Methylomonas",1
"Proteobacteria",134,"Gammaproteobacteria",85,"Xanthomonadales",1,"Xanthomonadaceae",1,"Stenotrophomonas",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Leisingera",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Loktanella",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Rhodobacter",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Rhodovulum",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Citreicella",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Labrenzia",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Marivivens",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Octadecabacter",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Planktomarina",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Pseudophaeobacter",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Roseobacter",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Ruegeria",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"Sulfitobacter",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Rhodobacteraceae",18,"unclassified",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Hyphomonadaceae",2,"Henriciella",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"Hyphomonadaceae",2,"Hyphomonas",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodobacterales",21,"unclassified",1,"unclassified",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhizobiales",6,"Rhizobiaceae",3,"Sinorhizobium",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhizobiales",6,"Rhizobiaceae",3,"Rhizobium",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhizobiales",6,"Aurantimonadaceae",1,"Martelella",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhizobiales",6,"Hyphomicrobiaceae",1,"Pelagibacterium",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhizobiales",6,"Phyllobacteriaceae",1,"Mesorhizobium",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Sphingomonadales",2,"Sphingomonadaceae",2,"Sphingopyxis",2
"Proteobacteria",134,"Alphaproteobacteria",34,"Caulobacterales",1,"Caulobacteraceae",1,"Brevundimonas",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Magnetococcales",1,"Magnetococcaceae",1,"Magnetococcus",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Parvularculales",1,"Parvularculaceae",1,"Parvularcula",1
"Proteobacteria",134,"Alphaproteobacteria",34,"Rhodospirillales",1,"Rhodospirillaceae",1,"Thalassobaculum",1
"Proteobacteria",134,"Alphaproteobacteria",34,"unclassified",1,"unclassified",1,"Candidatus Puniceispirillum",1
"Proteobacteria",134,"Deltaproteobacteria",10,"Desulfobacterales",5,"Desulfobacteraceae",4,"Desulfotignum",2
"Proteobacteria",134,"Deltaproteobacteria",10,"Desulfobacterales",5,"Desulfobacteraceae",4,"Desulfobacterium",1
"Proteobacteria",134,"Deltaproteobacteria",10,"Desulfobacterales",5,"Desulfobacteraceae",4,"Desulfobacula",1
"Proteobacteria",134,"Deltaproteobacteria",10,"Desulfobacterales",5,"Desulfobulbaceae",1,"Desulfotalea",1
"Proteobacteria",134,"Deltaproteobacteria",10,"Desulfovibrionales",3,"Desulfovibrionaceae",3,"Desulfovibrio",3
"Proteobacteria",134,"Deltaproteobacteria",10,"Myxococcales",2,"Kofleriaceae",1,"Haliangium",1
"Proteobacteria",134,"Deltaproteobacteria",10,"Myxococcales",2,"Myxococcaceae",1,"Myxococcus",1
"Proteobacteria",134,"Acidithiobacillia",2,"Acidithiobacillales",2,"unclassified",2,"unclassified",2
"Proteobacteria",134,"Epsilonproteobacteria",2,"unclassified",2,"unclassified",2,"Nitratiruptor",1
"Proteobacteria",134,"Epsilonproteobacteria",2,"unclassified",2,"unclassified",2,"Sulfurovum",1
"Proteobacteria",134,"Betaproteobacteria",1,"Burkholderiales",1,"Alcaligenaceae",1,"Pusillimonas",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Gramella",2
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Nonlabens",2
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Polaribacter",2
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Cellulophaga",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Croceibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Dokdonia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Flagellimonas",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Gillisia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Joostella",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Lacinutrix",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Lutibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Mesonia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Robiginitalea",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Salegentibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Sediminibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Wenyingzhuangia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Zunongwangia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Cryomorphaceae",1,"Owenweeksia",1
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Cyclobacteriaceae",1,"Aquiflexum",1
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Cytophagaceae",1,"Cytophaga",1
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Flammeovirgaceae",1,"Marivirga",1
"Bacteroidetes",25,"Saprospiria",1,"Saprospirales",1,"Saprospiraceae",1,"Saprospira",1
"Cyanobacteria",22,"unclassified",22,"Synechococcales",10,"Synechococcaceae",9,"Synechococcus",8
"Cyanobacteria",22,"unclassified",22,"Synechococcales",10,"Synechococcaceae",9,"Cyanobium",1
"Cyanobacteria",22,"unclassified",22,"Synechococcales",10,"Prochloraceae",1,"Prochlorococcus",1
"Cyanobacteria",22,"unclassified",22,"Oscillatoriales",8,"Oscillatoriaceae",6,"Moorea",6
"Cyanobacteria",22,"unclassified",22,"Oscillatoriales",8,"Coleofasciculaceae",1,"Coleofasciculus",1
"Cyanobacteria",22,"unclassified",22,"Oscillatoriales",8,"Microcoleaceae",1,"Trichodesmium",1
"Cyanobacteria",22,"unclassified",22,"Nostocales",2,"Aphanizomenonaceae",1,"Nodularia",1
"Cyanobacteria",22,"unclassified",22,"Nostocales",2,"Nostocaceae",1,"Anabaena",1
"Cyanobacteria",22,"unclassified",22,"Chroococcales",1,"unclassified",1,"Synechococcus",1
"Cyanobacteria",22,"unclassified",22,"Gloeoemargaritales",1,"Gloeomargaritaceae",1,"Gloeomargarita",1
"Firmicutes",20,"Clostridia",11,"Clostridiales",8,"Clostridiaceae",2,"Clostridium",2
"Firmicutes",20,"Clostridia",11,"Clostridiales",8,"Clostridiales Family XVII. Incertae Sedis",2,"Sulfobacillus",1
"Firmicutes",20,"Clostridia",11,"Clostridiales",8,"Clostridiales Family XVII. Incertae Sedis",2,"Thermaerobacter",1
"Firmicutes",20,"Clostridia",11,"Clostridiales",8,"Lachnospiraceae",2,"Cellulosilyticum",1
"Firmicutes",20,"Clostridia",11,"Clostridiales",8,"Lachnospiraceae",2,"Tyzzerella",1
