"Phylum","Genomes.in.phylum","Class","Genomes.in.class","Order","Genomes.in.order","Family","Genomes.in.family","Genus","Genomes.in.genus"
"Actinobacteria",10,"Actinobacteria",10,"Corynebacteriales",3,"Mycobacteriaceae",2,"Mycobacterium",2
"Actinobacteria",10,"Actinobacteria",10,"Corynebacteriales",3,"Nocardiaceae",1,"Rhodococcus",1
"Actinobacteria",10,"Actinobacteria",10,"Micrococcales",1,"Micrococcaceae",1,"Paenarthrobacter",1
"Actinobacteria",10,"Actinobacteria",10,"Micromonosporales",2,"Micromonosporaceae",2,"Salinispora",1
"Actinobacteria",10,"Actinobacteria",10,"Micromonosporales",2,"Micromonosporaceae",2,"Verrucosispora",1
"Actinobacteria",10,"Actinobacteria",10,"Pseudonocardiales",2,"Pseudonocardiaceae",2,"Prauserella",1
"Actinobacteria",10,"Actinobacteria",10,"Pseudonocardiales",2,"Pseudonocardiaceae",2,"Saccharomonospora",1
"Actinobacteria",10,"Actinobacteria",10,"Streptomycetales",2,"Streptomycetaceae",2,"Streptomyces",2
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Cyclobacteriaceae",1,"Aquiflexum",1
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Cytophagaceae",1,"Cytophaga",1
"Bacteroidetes",25,"Cytophagia",3,"Cytophagales",3,"Flammeovirgaceae",1,"Marivirga",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Cryomorphaceae",1,"Owenweeksia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Cellulophaga",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Croceibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Dokdonia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Flagellimonas",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Gillisia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Gramella",2
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Joostella",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Lacinutrix",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Lutibacter",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Mesonia",1
"Bacteroidetes",25,"Flavobacteriia",21,"Flavobacteriales",21,"Flavobacteriaceae",20,"Nonlabens",2
