"Genome.Name","JGI.Analysis.Project.Type","Genome.Completeness"
"Candidate division JS1 190_G5 (unscreened)","Single Cell Analysis (unscreened)",0
"Gamma proteobacterium SCGC AD-606-O08 (contamination screened)","Single Cell Analysis (screened)",0
"Alpha proteobacterium SCGC AD-602-P07 (contamination screened)","Single Cell Analysis (screened)",3.45
"Alpha proteobacterium SCGC AD-604-D05 (contamination screened)","Single Cell Analysis (screened)",4.17
"Gamma proteobacterium SCGC AD-615-K15 (contamination screened)","Single Cell Analysis (screened)",7.76
"Alpha proteobacterium SCGC AD-604-M14 (contamination screened)","Single Cell Analysis (screened)",8.33
"zeta proteobacterium SCGC AC-673-N02 (unscreened)","Single Cell Analysis (unscreened)",8.33
"Gamma proteobacterium SCGC AD-615-F19 (contamination screened)","Single Cell Analysis (screened)",9.71
"Candidate division JS1 190_H6 (unscreened)","Single Cell Analysis (unscreened)",10.91
"Gamma Proteobacteria bacterium SCGC AD-606-C10 (contamination screened)","Single Cell Analysis (screened)",12.07
"Bacteroidetes bacterium SCGC AD-615-J06 (contamination screened)","Single Cell Analysis (screened)",12.15
"Parcubacteria bacterium SCGC AAA040-L21 (contamination screened) (CrabSpa_001_179)","Single Cell Analysis (screened)",12.41
"Candidate division JS1 190_A5 (unscreened)","Single Cell Analysis (unscreened)",13.79
"Gamma Proteobacteria bacterium SCGC AD-606-L11 (contamination screened)","Single Cell Analysis (screened)",14.48
"Gracilibacteria bacterium JGI 0000069-P22 (contamination screened) (CrabSpa_001_278)","Single Cell Analysis (screened)",14.84
"Candidate division JS1 190_A10 (unscreened)","Single Cell Analysis (unscreened)",14.99
"Candidate division JS1 190_D7 (unscreened)","Single Cell Analysis (unscreened)",17.24
"Gamma proteobacterium SCGC AD-602-M15 (contamination screened)","Single Cell Analysis (screened)",17.24
"Proteobacteria bacterium SCGC AD-598-G19 (contamination screened)","Single Cell Analysis (screened)",17.24
"zeta proteobacterium SCGC AB-706-D06 (unscreened)","Single Cell Analysis (unscreened)",18.33
"uncultured Desulfarculaceae bacterium 190_F8 (unscreened)","Single Cell Analysis (unscreened)",21.71
"Gamma Proteobacteria bacterium SCGC AD-606-E23 (contamination screened)","Single Cell Analysis (screened)",22.41
"Gamma proteobacterium SCGC AD-602-N15 (contamination screened)","Single Cell Analysis (screened)",23.03
