"Genome.ID","NCBI.Taxon.ID","Status","Genome","Phylum","Class","Order","Family","Genus","Species","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy","Prophages.per.genome","Total.Size.Prophages","Genome.Size.Without.Prophage","Percentage.of.Genome.Prophage"
2518645567,1196835,"Finished","Pseudomonas stutzeri AN10, CCUG 29243","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas stutzeri","AN10, CCUG 29243","Yes","Environmental","Aquatic","Marine","Marginal Sea",4709064,4374,1,"Genome Analysis","Whole Genome Sequencing",1,39957,4669107,0.848512570650983
2526164535,104623,"Permanent Draft","Serratia sp. ATCC 39006","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia sp. ATCC 39006","ATCC 39006","Yes","Environmental","Aquatic","Marine","Intertidal zone",4947661,4578,1,"Genome Analysis","Whole Genome Sequencing",3,120931,4826730,2.44420545384981
2506210002,717774,"Finished","Marinomonas mediterranea MMB-1, ATCC 700492","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","Marinomonas mediterranea","MMB-1, ATCC 700492","Yes","Environmental","Aquatic","Marine","Unclassified",4684316,4326,1,"Genome Analysis","Whole Genome Sequencing",3,128065,4556251,2.73391035105232
2506485002,163908,"Permanent Draft","Anabaena sp. PCC 7108","Cyanobacteria","unclassified","Nostocales","Nostocaceae","Anabaena","Anabaena sp. PCC 7108","PCC 7108","Yes","Environmental","Aquatic","Marine","Intertidal zone",5886741,5227,3,"Genome Analysis","Whole Genome Sequencing",5,368478,5518263,6.25945663313538
2507262013,1280380,"Finished","Synechococcus sp. KORDI-100 (genome sequencing)","Cyanobacteria","unclassified","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus sp. KORDI-100","KORDI-100","Yes","Environmental","Aquatic","Marine","Oceanic",2789000,3058,1,"Genome Analysis","Whole Genome Sequencing",9,580194,2208806,20.8029401219075
2507262035,693972,"Permanent Draft","Shewanella baltica OS625","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella baltica","OS625","Yes","Environmental","Aquatic","Marine","Marginal Sea",5225715,4639,3,"Genome Analysis","Whole Genome Sequencing",2,83426,5142289,1.59645139468953
2511231054,1082931,"Finished","Pelagibacterium halotolerans B2","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium halotolerans","B2","Yes","Environmental","Aquatic","Marine","Marginal Sea",3948887,3940,2,"Genome Analysis","Whole Genome Sequencing",2,95791,3853096,2.42577212262594
2512047040,931626,"Finished","Acetobacterium woodii WB1, DSM 1030","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","Acetobacterium woodii","WB1, DSM 1030","Yes","Environmental","Aquatic","Marine","Intertidal zone",4044777,3561,1,"Genome Analysis","Whole Genome Sequencing",3,158668,3886109,3.92278733784335
2512047087,999549,"Permanent Draft","Leisingera caerulea DSM 24564","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera","Leisingera caerulea","DSM 24564","Yes","Environmental","Aquatic","Marine","Coastal",5344419,5335,9,"Genome Analysis","Whole Genome Sequencing",3,127650,5216769,2.38847290977747
2512564006,391616,"Finished","Octadecabacter arcticus 238, DSM 13978","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","Octadecabacter arcticus","238","Yes","Environmental","Aquatic","Marine","Unclassified",5478249,5149,3,"Genome Analysis","Whole Genome Sequencing",2,155336,5322913,2.83550455629162
2512564009,999552,"Finished","Leisingera methylohalidivorans MB2, DSM 14336","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera","Leisingera methylohalidivorans","MB2, DSM 14336","Yes","Environmental","Aquatic","Marine","Neritic zone",4650996,4608,3,"Genome Analysis","Whole Genome Sequencing",4,203633,4447363,4.37826650463686
2512564032,984262,"Finished","Saprospira grandis Lewin","Bacteroidetes","Saprospiria","Saprospirales","Saprospiraceae","Saprospira","Saprospira grandis","Lewin","Yes","Environmental","Aquatic","Marine","Intertidal zone",4400185,4324,2,"Genome Analysis","Whole Genome Sequencing",8,1131258,3268927,25.7093281305218
2513237134,218983,"Finished","Glaciecola sp. ANT9081 (cola82)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","Glaciecola sp. ANT9081","ANT9081","Yes","Environmental","Aquatic","Marine","Unclassified",4996068,4330,1,"Genome Analysis","Whole Genome Sequencing",8,739619,4256449,14.8040218828086
2516493030,1069081,"Draft","Nitratiruptor tergarcus DSM 16512","Proteobacteria","Epsilonproteobacteria","unclassified","unclassified","Nitratiruptor","Nitratiruptor tergarcus","DSM 16512","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",1929433,2039,2,"Genome Analysis","Whole Genome Sequencing",1,44643,1884790,2.31378855860763
