"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome"
"2501651735_PE3_Contig_595-circular",53,"2501651735_PE3_Contig_595-circular",53,1,2,"3.150659498","","28.87300354","gene_13-gene_47:4.93508387568052","2.692612457","",2501651735,"Moritella sp PE36 (Updated) : PE3_Contig_595",2501651208,"Moritella sp. PE36",56,50709,0.4,NA,1,1
"2518681435_CP003677",4382,"2518681435_CP003677-gene_1360-gene_1411",52,1,3,"gene_1360-gene_1411:2.83179096058662","","gene_1360-gene_1409:24.27650588618120","","","",2518681435,"Pseudomonas stutzeri Ursing AN10, CCUG 29243 : CP003677",2518645567,"Pseudomonas stutzeri AN10, CCUG 29243",4374,4709064,0.63,1,1,1
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2588-gene_2649",62,1,3,"gene_2588-gene_2649:13.80194831039812","","gene_2588-gene_2649:25.43125468769136","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3
"2527303452_AB755C07D09_contig_56_0_52-circular",7,"2527303452_AB755C07D09_contig_56_0_52-circular",7,1,2,"3.751990014","10.72118176","4.777848433","","","",2527303452,"SUP05 cluster bacterium AB-755_C07D09 : AB755C07D09_contig_56_0.52",2527291540,"SUP05 cluster bacterium AB-755_C07D09 (unscreened)",10,4673,0.39,1,1,1
"2527303585_AB755C14H09_contig_61_0_59-circular",7,"2527303585_AB755C14H09_contig_61_0_59-circular",7,1,1,"3.751990014","10.72118176","4.777848433","","","2.564155634",2527303585,"SUP05 cluster bacterium AB-755_C14H09 : AB755C14H09_contig_61_0.59",2527291542,"SUP05 cluster bacterium AB-755_C14H09 (unscreened)",10,4673,0.39,1,1,1
"2527303965_AB755E23A01_contig_63_0_60-circular",7,"2527303965_AB755E23A01_contig_63_0_60-circular",7,1,2,"3.751990014","14.00884551","4.777848433","","","",2527303965,"SUP05 cluster bacterium AB-755_E23A01 : AB755E23A01_contig_63_0.60",2527291548,"SUP05 cluster bacterium AB-755_E23A01 (unscreened)",10,4631,0.39,1,1,1
"2527303998_AB755G23A03_contig_32_0_28-circular",7,"2527303998_AB755G23A03_contig_32_0_28-circular",7,1,2,"5.280383168","14.00884551","4.777848433","","","",2527303998,"SUP05 cluster bacterium AB-755_G23A03 : AB755G23A03_contig_32_0.28",2527291549,"SUP05 cluster bacterium AB-755_G23A03 (unscreened)",10,4652,0.39,1,1,1
"2527304309_AB755P16B10_contig_42_0_38-circular",7,"2527304309_AB755P16B10_contig_42_0_38-circular",7,1,2,"3.751990014","14.00884551","4.777848433","","","",2527304309,"SUP05 cluster bacterium AB-755_P16B10 : AB755P16B10_contig_42_0.38",2527291555,"SUP05 cluster bacterium AB-755_P16B10 (unscreened)",10,4657,0.39,1,1,1
"2527304396_AB754B15AB_contig_38_0_34-circular",7,"2527304396_AB754B15AB_contig_38_0_34-circular",7,1,2,"3.751990014","14.00884551","4.777848433","","","",2527304396,"SUP05 cluster bacterium AB-754_B15AB-905 : AB754B15AB_contig_38_0.34",2527291557,"SUP05 cluster bacterium AB-754_B15AB-905 (unscreened)",10,4673,0.39,1,1,1
"2527318261_AB754O20906_contig_29_0_28-circular",7,"2527318261_AB754O20906_contig_29_0_28-circular",7,1,2,"3.751990014","14.00884551","4.777848433","","","",2527318261,"SUP05 cluster bacterium AB-754_O20AB-906 : AB754O20906_contig_29_0.28",2527291586,"SUP05 cluster bacterium AB-754_O20AB-906 (unscreened)",10,4656,0.39,1,1,1
