"Genome.ID","NCBI.Taxon.ID","Status","Genome","Phylum","Class","Order","Family","Genus","Species","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy","Prophages.per.genome","Total.Size.Prophages","Genome.Size.Without.Prophage","Percentage.of.Genome.Prophage"
2501651208,58051,"Permanent Draft","Moritella sp. PE36","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","Moritella sp. PE36","PE36","Yes","Environmental","Aquatic","Marine","Coastal",5286066,4854,26,"Genome Analysis","Whole Genome Sequencing",1,50709,5235357,0.959295627409874
2541047540,1244140,"Permanent Draft","Enterococcus faecalis LA3B-2","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","LA3B-2","Yes","Environmental","Aquatic","Marine","",2892708,3054,127,"Genome Analysis","Whole Genome Sequencing",1,5420,2887288,0.187367684536427
2517434011,1122180,"Permanent Draft","Loktanella hongkongensis DSM 17492","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella","Loktanella hongkongensis","UST950701-009P","Yes","Environmental","Aquatic","Marine","Unclassified",3187878,3152,17,"Genome Analysis","Whole Genome Sequencing",1,17661,3170217,0.554004889773072
2551306058,1191305,"Permanent Draft","Vibrio splendidus 12E03","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio splendidus","1.20E+04","Yes","Environmental","Aquatic","Marine","Unclassified",5369124,5014,370,"Genome Analysis","Whole Genome Sequencing",1,3223,5365901,0.0600284143186114
2551306064,617145,"Permanent Draft","Vibrio splendidus 1F-157","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio splendidus","1F-157","Yes","Environmental","Aquatic","Marine","Unclassified",5616420,5227,423,"Genome Analysis","Whole Genome Sequencing",1,3509,5612911,0.0624775212679963
2551306078,617146,"Permanent Draft","Vibrio splendidus FF-6","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio splendidus","FF-6","Yes","Environmental","Aquatic","Marine","Unclassified",5667497,5257,266,"Genome Analysis","Whole Genome Sequencing",1,16865,5650632,0.297574043709242
2574179702,1123000,"Permanent Draft","Propionigenium maris DSM 9537","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium","Propionigenium maris","DSM 9537","Yes","Environmental","Aquatic","Marine","Intertidal zone",4109009,4052,64,"Genome Analysis","Whole Genome Sequencing",2,55132,4053877,1.34173471024279
2634166328,1122198,"Permanent Draft","Marinobacterium georgiense DSM 11526","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinobacterium","Marinobacterium georgiense","DSM 11526","Yes","Environmental","Aquatic","Marine","Unclassified",3925261,3792,51,"Genome Analysis","Whole Genome Sequencing",1,16630,3908631,0.423666095069856
2654587931,1703384,"Permanent Draft","Acidithiobacillales bacterium SM1_46","Proteobacteria","Acidithiobacillia","Acidithiobacillales","unclassified","unclassified","Acidithiobacillales bacterium SM1_46","","No","Environmental","Aquatic","Marine","Oceanic",2616358,2846,182,"Genome from Metagenome","Metagenome",1,54650,2561708,2.08878142822962
2654587932,1703385,"Permanent Draft","Acidithiobacillales bacterium SM23_46","Proteobacteria","Acidithiobacillia","Acidithiobacillales","unclassified","unclassified","Acidithiobacillales bacterium SM23_46","","No","Environmental","Aquatic","Marine","Oceanic",2826034,3110,263,"Genome from Metagenome","Metagenome",1,54660,2771374,1.93415932009311
2654587958,1703358,"Permanent Draft","Gemmatimonas sp. SG8_38_2","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas sp. SG8_38_2","","No","Environmental","Aquatic","Marine","Oceanic",2814545,2866,307,"Genome from Metagenome","Metagenome",2,140303,2674242,4.98492651565351
2654588060,1703763,"Permanent Draft","bacterium SM23_57","unclassified","unclassified","unclassified","unclassified","unclassified","bacterium SM23_57","","No","Environmental","Aquatic","Marine","Oceanic",2320374,2198,284,"Genome from Metagenome","Metagenome",1,32295,2288079,1.39180149406949
2654588076,1703354,"Permanent Draft","Coxiella sp. DG_40","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella","Coxiella sp. DG_40","","No","Environmental","Aquatic","Marine","Oceanic",2338617,2360,88,"Genome from Metagenome","Metagenome",1,35501,2303116,1.51803394912463
2675903130,417292,"Permanent Draft","Streptomyces indicus CGMCC 4.5727","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces indicus","CGMCC 4.5727","Yes","Environmental","Aquatic","Marine","Oceanic",8228196,7483,45,"Genome Analysis","Whole Genome Sequencing",1,62152,8166044,0.755353907466473
