Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_2501651735_PE3_Contig_595-circular,53,VIRSorter_2501651735_PE3_Contig_595-circular,53,1,2,7.145843694,,28.60868527,gene_13-gene_47:4.83029318184128,2.692592597,
VIRSorter_2527303452_AB755C07D09_contig_56_0_52-circular,7,VIRSorter_2527303452_AB755C07D09_contig_56_0_52-circular,7,1,3,4.888791615,10.81519339,4.741199016,,,
VIRSorter_2527303585_AB755C14H09_contig_61_0_59-circular,7,VIRSorter_2527303585_AB755C14H09_contig_61_0_59-circular,7,1,2,4.888791615,10.81519339,4.741199016,,,2.564155634
VIRSorter_2527303965_AB755E23A01_contig_63_0_60-circular,7,VIRSorter_2527303965_AB755E23A01_contig_63_0_60-circular,7,1,3,4.888791615,14.12638627,4.741199016,,,
VIRSorter_2527303998_AB755G23A03_contig_32_0_28-circular,7,VIRSorter_2527303998_AB755G23A03_contig_32_0_28-circular,7,1,3,6.63809249,14.12638627,4.741199016,,,
VIRSorter_2527304309_AB755P16B10_contig_42_0_38-circular,7,VIRSorter_2527304309_AB755P16B10_contig_42_0_38-circular,7,1,3,4.888791615,14.12638627,4.741199016,,,
VIRSorter_2527304396_AB754B15AB_contig_38_0_34-circular,7,VIRSorter_2527304396_AB754B15AB_contig_38_0_34-circular,7,1,3,4.888791615,14.12638627,4.741199016,,,
VIRSorter_2527318261_AB754O20906_contig_29_0_28-circular,7,VIRSorter_2527318261_AB754O20906_contig_29_0_28-circular,7,1,3,4.888791615,14.12638627,4.741199016,,,
VIRSorter_2541145441_ATJC01000124-circular,6,VIRSorter_2541145441_ATJC01000124-circular,6,1,2,4.006152152,14.67015978,2.692064558,,,
VIRSorter_2513028312_Alt07DRAFT_contig_827_827-circular,73,VIRSorter_2513028312_Alt07DRAFT_contig_827_827-circular,73,2,2,gene_6-gene_64:3.41495631045112,,36.06668039,10.66175115,gene_13-gene_54:3.11627624185488,gene_31-gene_74:3.00309794071453
VIRSorter_2517434717_A3EYDRAFT_scaffold00015_15-circular,25,VIRSorter_2517434717_A3EYDRAFT_scaffold00015_15-circular,25,2,1,,,gene_3-gene_25:4.95216220375143,,,
VIRSorter_2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular,73,VIRSorter_2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular,73,2,2,gene_0-gene_54:3.50257323373181,,gene_4-gene_72:38.89325056112848,gene_8-gene_72:12.70571253887777,gene_4-gene_44:2.96307768050208,gene_21-gene_69:5.30618771918107
VIRSorter_2551322688_A142DRAFT_AJZD01000300_1_300-circular,5,VIRSorter_2551322688_A142DRAFT_AJZD01000300_1_300-circular,5,2,,,5.1799134,,,,2.067526235
VIRSorter_2551324408_A148DRAFT_AJZJ01000420_1_420-circular,6,VIRSorter_2551324408_A148DRAFT_AJZJ01000420_1_420-circular,6,2,,,5.004057711,,,,
VIRSorter_2551327266_A147DRAFT_AJZI01000054_1_54-circular,20,VIRSorter_2551327266_A147DRAFT_AJZI01000054_1_54-circular,20,2,1,,,5.714627634,,,
VIRSorter_2574179835_BO22DRAFT_scaffold00024_24-circular,67,VIRSorter_2574179835_BO22DRAFT_scaffold00024_24-circular,67,2,1,,,29.17032832,gene_0-gene_66:12.39288713135328,gene_5-gene_67:2.06706151133321,gene_27-gene_50:8.52882551445552
VIRSorter_2634525851_Ga0002050_131-circular,24,VIRSorter_2634525851_Ga0002050_131-circular,24,2,,,gene_16-gene_25:7.95870907326790,10.57576812,gene_3-gene_21:4.87284650947836,,gene_15-gene_24:2.96074773029232
VIRSorter_2654619631_Ga0111170_1001-circular,73,VIRSorter_2654619631_Ga0111170_1001-circular,73,2,3,,,43.68614855,gene_2-gene_73:21.73276223623969,gene_6-gene_74:3.60771941582803,gene_2-gene_35:6.02867789124296
VIRSorter_2654619813_Ga0111171_1001-circular,72,VIRSorter_2654619813_Ga0111171_1001-circular,72,2,3,,,43.02837566,gene_2-gene_72:22.32719753483753,gene_6-gene_59:3.59090953149628,gene_2-gene_30:5.42061873717830
VIRSorter_2654625852_Ga0111158_1004-circular,81,VIRSorter_2654625852_Ga0111158_1004-circular,81,2,1,,,48.95809339,26.88317856,4.208948198,gene_0-gene_19:3.03510546772974
VIRSorter_2654630214_Ga0111192_1004-circular,39,VIRSorter_2654630214_Ga0111192_1004-circular,39,2,2,gene_21-gene_39:2.27047229401524,,21.57896287,gene_1-gene_30:7.28494360816256,gene_6-gene_39:2.54129813310528,
