"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome"
"2501651735_PE3_Contig_595-circular",53,"2501651735_PE3_Contig_595-circular",53,1,2,"3.150659498","","28.87300354","gene_13-gene_47:4.93508387568052","2.692612457","",2501651735,"Moritella sp PE36 (Updated) : PE3_Contig_595",2501651208,"Moritella sp. PE36",56,50709,0.4,NA,1,1
"2518681435_CP003677",4382,"2518681435_CP003677-gene_1360-gene_1411",52,1,3,"gene_1360-gene_1411:2.83179096058662","","gene_1360-gene_1409:24.27650588618120","","","",2518681435,"Pseudomonas stutzeri Ursing AN10, CCUG 29243 : CP003677",2518645567,"Pseudomonas stutzeri AN10, CCUG 29243",4374,4709064,0.63,1,1,1
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2588-gene_2649",62,1,3,"gene_2588-gene_2649:13.80194831039812","","gene_2588-gene_2649:25.43125468769136","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3
"2541145441_ATJC01000124-circular",6,"2541145441_ATJC01000124-circular",6,1,2,"3.062457552","14.55260262","2.717138759","","","",2541145441,"Enterococcus faecalis LA3B-2 : ATJC01000124",2541047540,"Enterococcus faecalis LA3B-2",7,5420,0.45,1,1,1
"2506213072_Contig398",4215,"2506213072_Contig398-gene_1804-gene_1865",62,2,6,"gene_1804-gene_1858:4.35407936340597","","gene_1804-gene_1865:22.54251269355925","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,3,3
"2506213072_Contig398",4215,"2506213072_Contig398-gene_4176-gene_4195",20,2,1,"","","gene_4176-gene_4195:4.61915604453582","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,3,3
"2506485008_Contig317",4900,"2506485008_Contig317-gene_863-gene_960",98,2,3,"","","gene_863-gene_960:31.44035106972052","gene_864-gene_960:12.85298437106576","","",2506485008,"Anabaena sp. PCC 7108 : Contig317",2506485002,"Anabaena sp. PCC 7108",5076,5714552,0.39,1,5,5
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_192-gene_273",82,2,1,"","","gene_192-gene_273:11.53466825361834","gene_203-gene_232:5.77850861202254","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2020-gene_2098",79,2,1,"","","gene_2020-gene_2098:10.06044801409356","gene_2020-gene_2084:3.59869943173860","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2693-gene_2762",70,2,1,"","","gene_2693-gene_2762:8.95868757232921","gene_2736-gene_2753:3.51704924432893","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
