"Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length.bp","GC.Content"
640969798,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000001",640963011,"Beggiatoa sp. PS",13,18628,0.4
640969799,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000002",640963011,"Beggiatoa sp. PS",14,17097,0.35
640969800,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000003",640963011,"Beggiatoa sp. PS",7,14742,0.4
640969801,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000004",640963011,"Beggiatoa sp. PS",12,14431,0.38
640969802,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000005",640963011,"Beggiatoa sp. PS",3,14409,0.42
640969803,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000006",640963011,"Beggiatoa sp. PS",11,14157,0.42
640969804,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000007",640963011,"Beggiatoa sp. PS",13,13857,0.39
640969805,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000008",640963011,"Beggiatoa sp. PS",18,13628,0.36
640969806,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000009",640963011,"Beggiatoa sp. PS",13,13429,0.37
640969807,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000010",640963011,"Beggiatoa sp. PS",10,13308,0.38
640969808,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000011",640963011,"Beggiatoa sp. PS",12,13168,0.39
640969809,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000012",640963011,"Beggiatoa sp. PS",12,12680,0.39
640969810,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000013",640963011,"Beggiatoa sp. PS",9,12605,0.38
640969811,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000014",640963011,"Beggiatoa sp. PS",10,12118,0.39
640969812,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01000015",640963011,"Beggiatoa sp. PS",13,11961,0.38
