"Taxon.oid","Domain","Status","Genome.Name","IMG.Genome.ID","Phylum","Class","Order","Family","Genus","Species","NCBI.Taxon.ID","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy"
2512047040,"Bacteria","Finished","Acetobacterium woodii WB1, DSM 1030",2512047040,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","Acetobacterium woodii",931626,"WB1, DSM 1030","Yes","Environmental","Aquatic","Marine","Intertidal zone",4044777,3561,1,"Genome Analysis","Whole Genome Sequencing"
2616644801,"Bacteria","Draft","Acidiferrobacter_a7",2616644801,"Proteobacteria","unclassified","unclassified","unclassified","unclassified","unidentified marine proteobacterium",56764,"","No","Environmental","Aquatic","Marine","Hydrothermal vents",2041809,2092,66,"Genome from Metagenome","Metagenome"
2718218515,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_D11 (contamination screened)",2718218515,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_D11","No","Environmental","Aquatic","Marine","Oceanic",323903,392,19,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2718218514,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_D11 (unscreened)",2718218514,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_D11","No","Environmental","Aquatic","Marine","Oceanic",473535,581,48,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721755855,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_E13 (contamination screened)",2721755855,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_E13","No","Environmental","Aquatic","Marine","Oceanic",428690,439,27,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2724679625,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_F13 (contamination screened)",2724679625,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_F13","No","Environmental","Aquatic","Marine","Oceanic",670183,772,31,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721756117,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_F13 (unscreened)",2721756117,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_F13","No","Environmental","Aquatic","Marine","Oceanic",770151,905,51,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2724679906,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_J9 (unscreened)",2724679906,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_J9","No","Environmental","Aquatic","Marine","Oceanic",336181,427,61,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721755879,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_K9 (contamination screened)",2721755879,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_K9","No","Environmental","Aquatic","Marine","Oceanic",844347,909,47,"Single Cell Analysis (screened)","Whole Genome Sequencing"
2721755867,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_K9 (unscreened)",2721755867,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_K9","No","Environmental","Aquatic","Marine","Oceanic",1119154,1243,108,"Single Cell Analysis (unscreened)","Whole Genome Sequencing"
2721756043,"Bacteria","Permanent Draft","Acidimicrobiales bacterium JGI 01_L21 (contamination screened)",2721756043,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","unclassified","unclassified","unclassified",84993,"JGI 01_L21","No","Environmental","Aquatic","Marine","Oceanic",564953,614,37,"Single Cell Analysis (screened)","Whole Genome Sequencing"
