"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome"
"2501651735_PE3_Contig_595-circular",53,"2501651735_PE3_Contig_595-circular",53,1,2,"7.145843694","","28.60868527","gene_13-gene_47:4.83029318184128","2.692592597","",2501651735,"Moritella sp PE36 (Updated) : PE3_Contig_595",2501651208,"Moritella sp. PE36",56,50709,0.4,NA,1,1
"2527303452_AB755C07D09_contig_56_0_52-circular",7,"2527303452_AB755C07D09_contig_56_0_52-circular",7,1,3,"4.888791615","10.81519339","4.741199016","","","",2527303452,"SUP05 cluster bacterium AB-755_C07D09 : AB755C07D09_contig_56_0.52",2527291540,"SUP05 cluster bacterium AB-755_C07D09 (unscreened)",10,4673,0.39,1,1,1
"2527303585_AB755C14H09_contig_61_0_59-circular",7,"2527303585_AB755C14H09_contig_61_0_59-circular",7,1,2,"4.888791615","10.81519339","4.741199016","","","2.564155634",2527303585,"SUP05 cluster bacterium AB-755_C14H09 : AB755C14H09_contig_61_0.59",2527291542,"SUP05 cluster bacterium AB-755_C14H09 (unscreened)",10,4673,0.39,1,1,1
"2527303965_AB755E23A01_contig_63_0_60-circular",7,"2527303965_AB755E23A01_contig_63_0_60-circular",7,1,3,"4.888791615","14.12638627","4.741199016","","","",2527303965,"SUP05 cluster bacterium AB-755_E23A01 : AB755E23A01_contig_63_0.60",2527291548,"SUP05 cluster bacterium AB-755_E23A01 (unscreened)",10,4631,0.39,1,1,1
"2527303998_AB755G23A03_contig_32_0_28-circular",7,"2527303998_AB755G23A03_contig_32_0_28-circular",7,1,3,"6.63809249","14.12638627","4.741199016","","","",2527303998,"SUP05 cluster bacterium AB-755_G23A03 : AB755G23A03_contig_32_0.28",2527291549,"SUP05 cluster bacterium AB-755_G23A03 (unscreened)",10,4652,0.39,1,1,1
"2527304309_AB755P16B10_contig_42_0_38-circular",7,"2527304309_AB755P16B10_contig_42_0_38-circular",7,1,3,"4.888791615","14.12638627","4.741199016","","","",2527304309,"SUP05 cluster bacterium AB-755_P16B10 : AB755P16B10_contig_42_0.38",2527291555,"SUP05 cluster bacterium AB-755_P16B10 (unscreened)",10,4657,0.39,1,1,1
"2527304396_AB754B15AB_contig_38_0_34-circular",7,"2527304396_AB754B15AB_contig_38_0_34-circular",7,1,3,"4.888791615","14.12638627","4.741199016","","","",2527304396,"SUP05 cluster bacterium AB-754_B15AB-905 : AB754B15AB_contig_38_0.34",2527291557,"SUP05 cluster bacterium AB-754_B15AB-905 (unscreened)",10,4673,0.39,1,1,1
"2527318261_AB754O20906_contig_29_0_28-circular",7,"2527318261_AB754O20906_contig_29_0_28-circular",7,1,3,"4.888791615","14.12638627","4.741199016","","","",2527318261,"SUP05 cluster bacterium AB-754_O20AB-906 : AB754O20906_contig_29_0.28",2527291586,"SUP05 cluster bacterium AB-754_O20AB-906 (unscreened)",10,4656,0.39,1,1,1
"2541145441_ATJC01000124-circular",6,"2541145441_ATJC01000124-circular",6,1,2,"4.006152152","14.67015978","2.692064558","","","",2541145441,"Enterococcus faecalis LA3B-2 : ATJC01000124",2541047540,"Enterococcus faecalis LA3B-2",7,5420,0.45,1,1,1
"2513028312_Alt07DRAFT_contig_827_827-circular",73,"2513028312_Alt07DRAFT_contig_827_827-circular",73,2,2,"gene_6-gene_64:3.41495631045112","","36.06668039","10.66175115","gene_13-gene_54:3.11627624185488","gene_31-gene_74:3.00309794071453",2513028312,"Pseudoalteromonas sp. PRT007 : Alt07DRAFT_contig_827.827",2513020040,"Pseudoalteromonas sp. PRT007 (unscreened)",73,51112,0.42,1,1,1
"2517434717_A3EYDRAFT_scaffold00015_15-circular",25,"2517434717_A3EYDRAFT_scaffold00015_15-circular",25,2,1,"","","gene_3-gene_25:4.95216220375143","","","",2517434717,"Loktanella hongkongensis DSM 17492 : A3EYDRAFT_scaffold00015.15",2517434011,"Loktanella hongkongensis DSM 17492",23,17661,0.63,1,1,1
"2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular",73,"2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular",73,2,2,"gene_0-gene_54:3.50257323373181","","gene_4-gene_72:38.89325056112848","gene_8-gene_72:12.70571253887777","gene_4-gene_44:2.96307768050208","gene_21-gene_69:5.30618771918107",2518660831,"Pseudoalteromonas sp. PRT007 : TAATCG_NODE_1840_len_51146_cov_254_828.1841",2518645506,"Pseudoalteromonas sp. PRT007 (unscreened)",74,51146,0.42,1,1,1
"2551322688_A142DRAFT_AJZD01000300_1_300-circular",5,"2551322688_A142DRAFT_AJZD01000300_1_300-circular",5,2,0,"","5.1799134","","","","2.067526235",2551322688,"Vibrio splendidus 12E03 : A142DRAFT_AJZD01000300_1.300",2551306058,"Vibrio splendidus 12E03",5,3223,0.4,1,1,1
"2551324408_A148DRAFT_AJZJ01000420_1_420-circular",6,"2551324408_A148DRAFT_AJZJ01000420_1_420-circular",6,2,0,"","5.004057711","","","","",2551324408,"Vibrio splendidus 1F-157 : A148DRAFT_AJZJ01000420_1.420",2551306064,"Vibrio splendidus 1F-157",7,3509,0.39,1,1,1
"2551327266_A147DRAFT_AJZI01000054_1_54-circular",20,"2551327266_A147DRAFT_AJZI01000054_1_54-circular",20,2,1,"","","5.714627634","","","",2551327266,"Vibrio splendidus FF-6 : A147DRAFT_AJZI01000054_1.54",2551306078,"Vibrio splendidus FF-6",21,16865,0.44,1,1,1
"2574179835_BO22DRAFT_scaffold00024_24-circular",67,"2574179835_BO22DRAFT_scaffold00024_24-circular",67,2,1,"","","29.17032832","gene_0-gene_66:12.39288713135328","gene_5-gene_67:2.06706151133321","gene_27-gene_50:8.52882551445552",2574179835,"Propionigenium maris DSM 9537 : BO22DRAFT_scaffold00024.24",2574179702,"Propionigenium maris DSM 9537",67,42932,0.39,1,1,2
"2634525851_Ga0002050_131-circular",24,"2634525851_Ga0002050_131-circular",24,2,0,"","gene_16-gene_25:7.95870907326790","10.57576812","gene_3-gene_21:4.87284650947836","","gene_15-gene_24:2.96074773029232",2634525851,"Marinobacterium georgiense DSM 11526 : Ga0002050_131",2634166328,"Marinobacterium georgiense DSM 11526",31,16630,0.48,1,1,1
"2654619631_Ga0111170_1001-circular",73,"2654619631_Ga0111170_1001-circular",73,2,3,"","","43.68614855","gene_2-gene_73:21.73276223623969","gene_6-gene_74:3.60771941582803","gene_2-gene_35:6.02867789124296",2654619631,"Acidithiobacillales bacterium SM1_46 : Ga0111170_1001",2654587931,"Acidithiobacillales bacterium SM1_46",75,54650,0.61,1,1,1
"2654619813_Ga0111171_1001-circular",72,"2654619813_Ga0111171_1001-circular",72,2,3,"","","43.02837566","gene_2-gene_72:22.32719753483753","gene_6-gene_59:3.59090953149628","gene_2-gene_30:5.42061873717830",2654619813,"Acidithiobacillales bacterium SM23_46 : Ga0111171_1001",2654587932,"Acidithiobacillales bacterium SM23_46",75,54660,0.61,1,1,1
"2654625852_Ga0111158_1004-circular",81,"2654625852_Ga0111158_1004-circular",81,2,1,"","","48.95809339","26.88317856","4.208948198","gene_0-gene_19:3.03510546772974",2654625852,"Gemmatimonas sp. SG8_38_2 : Ga0111158_1004",2654587958,"Gemmatimonas sp. SG8_38_2",84,71469,0.61,1,1,2
"2654630214_Ga0111192_1004-circular",39,"2654630214_Ga0111192_1004-circular",39,2,2,"gene_21-gene_39:2.27047229401524","","21.57896287","gene_1-gene_30:7.28494360816256","gene_6-gene_39:2.54129813310528","",2654630214,"bacterium SM23_57 : Ga0111192_1004",2654588060,"bacterium SM23_57",45,32295,0.43,1,1,1
"2654632964_Ga0111206_129-circular",62,"2654632964_Ga0111206_129-circular",62,2,2,"","","30.78418437","gene_2-gene_62:15.65159022678971","2.018721593","gene_15-gene_55:8.28377001902608",2654632964,"Coxiella sp. DG_40 : Ga0111206_129",2654588076,"Coxiella sp. DG_40",65,35501,0.34,1,1,1
"2675939236_Ga0104442_125-circular",100,"2675939236_Ga0104442_125-circular",100,2,4,"","","51.577076","gene_2-gene_96:23.56507075827526","","gene_38-gene_99:8.33033391888241",2675939236,"Streptomyces indicus CGMCC 4.5727 : Ga0104442_125",2675903130,"Streptomyces indicus CGMCC 4.5727",92,62152,0.69,1,1,1
"651331075_NZ_AEVK01000129-circular",14,"651331075_NZ_AEVK01000129-circular",14,2,0,"","gene_5-gene_14:6.01539271231419","gene_4-gene_14:6.27436433681653","gene_2-gene_11:2.76859993254432","","",651331075,"Gamma proteobacterium IMCC1989 ctg_146: NZ_AEVK01000129",651324112,"gamma proteobacterium IMCC1989",12,8868,0.37,NA,1,2
"2235762201_A164I21DRAFT_NODE-unique_20_len_12046_20-circular",10,"2235762201_A164I21DRAFT_NODE-unique_20_len_12046_20-circular",10,3,0,"","","5.186915253","3.944691192","","",2235762201,"Verrucomicrobia SCGC AAA164-I21 : A164I21DRAFT_NODE-unique_20_len_12046.20",2228664044,"Verrucomicrobia bacterium SCGC AAA164-I21 (unscreened)",15,12046,0.4,1,1,1
"2236662105_A300J16DRAFT_NODE-unique_30_len_7868_30-circular",11,"2236662105_A300J16DRAFT_NODE-unique_30_len_7868_30-circular",11,3,0,"","","gene_3-gene_12:4.70979399864458","gene_3-gene_12:3.46756993688033","","gene_3-gene_12:2.30937761663574",2236662105,"alpha proteobacterium SCGC AAA300-J16 : A300J16DRAFT_NODE-unique_30_len_7868.30",2236661014,"alpha proteobacterium SCGC AAA300-J16 (unscreened)",13,7868,0.47,1,1,1
"2264418464_A3IMDRAFT_NODE-unique_50_len_8879_50-circular",13,"2264418464_A3IMDRAFT_NODE-unique_50_len_8879_50-circular",13,3,0,"","","gene_2-gene_13:5.46424311617237","gene_2-gene_13:5.46424311617237","","",2264418464,"Spirochaetes bacterium SCGC AAA257-G10 : A3IMDRAFT_NODE-unique_50_len_8879.50",2264265209,"Spirochaetes bacterium SCGC AAA257-G10 (unscreened)",14,8879,0.38,1,1,1
"2264418709_A39GDRAFT_NODE-unique_15_len_8869_15-circular",13,"2264418709_A39GDRAFT_NODE-unique_15_len_8869_15-circular",13,3,0,"","","gene_3-gene_13:4.82386160450743","gene_3-gene_13:4.82386160450743","","",2264418709,"Spirochaetes bacterium SCGC AAA257-P05 : A39GDRAFT_NODE-unique_15_len_8869.15",2264265210,"Spirochaetes bacterium SCGC AAA257-P05 (unscreened)",13,8869,0.38,1,1,1
"2515155580_FiPS3_scaffold_68_len_7742_splicings_1_69-circular",13,"2515155580_FiPS3_scaffold_68_len_7742_splicings_1_69-circular",13,3,0,"","","6.107520721","6.107520721","","5.309268473",2515155580,"Desulfotignum phosphitoxidans FiPS-3 : FiPS3_scaffold_68_len_7742_splicings_1.69",2515154007,"Desulfotignum phosphitoxidans FiPS-3, DSM 13687",12,7742,0.41,1,1,1
"2515164794_B164DRAFT_scaffold_46_47-circular",21,"2515164794_B164DRAFT_scaffold_46_47-circular",21,3,0,"","","4.103502546","gene_2-gene_20:3.99790173514660","","",2515164794,"Salinispora arenicola CNH964 : B164DRAFT_scaffold_46.47",2515154125,"Salinispora arenicola CNH964",20,27713,0.66,1,1,1
"2519123457_F609DRAFT_scaffold00054_54-circular",7,"2519123457_F609DRAFT_scaffold00054_54-circular",7,3,0,"","","4.741199016","4.741199016","","",2519123457,"Streptomyces sp. LaPpAH-185 : F609DRAFT_scaffold00054.54",2519103181,"Streptomyces sp. LaPpAH-185",6,5643,0.68,1,1,1
"2523242098_G551DRAFT_scaffold00017_17-circular",19,"2523242098_G551DRAFT_scaffold00017_17-circular",19,3,0,"","","gene_1-gene_16:5.85245411198259","gene_2-gene_16:2.94577641989818","","",2523242098,"Mesonia mobilis DSM 19841 : G551DRAFT_scaffold00017.17",2523231063,"Mesonia mobilis DSM 19841",19,15517,0.28,1,1,1
"2527322931_AB750C22904_contig_14_0_15-circular",20,"2527322931_AB750C22904_contig_14_0_15-circular",20,3,0,"","","gene_4-gene_20:5.11456894833474","gene_4-gene_17:3.34819236688549","","",2527322931,"SUP05 cluster bacterium AB-750C22AB-904 : AB750C22904_contig_14_0.15",2527291666,"SUP05 cluster bacterium AB-750C22AB-904 (unscreened)",21,21205,0.34,1,1,1
"2548977535_OA9DRAFT_AIDA01000033_1_33-circular",7,"2548977535_OA9DRAFT_AIDA01000033_1_33-circular",7,3,0,"","2.245565105","4.741199016","3.305075461","","",2548977535,"Vibrio cyclitrophicus 1F97 : OA9DRAFT_AIDA01000033_1.33",2548876821,"Vibrio cyclitrophicus 1F97",7,4744,0.46,1,1,1
"2548979314_OAYDRAFT_AIDO01000035_1_35-circular",29,"2548979314_OAYDRAFT_AIDO01000035_1_35-circular",29,3,0,"","","gene_0-gene_26:5.40446605709669","gene_0-gene_26:2.74266264803545","","",2548979314,"Vibrio cyclitrophicus ZF205 : OAYDRAFT_AIDO01000035_1.35",2548876832,"Vibrio cyclitrophicus ZF205",33,30441,0.41,1,1,1
"2548979564_OAUDRAFT_AIDL01000045_1_45-circular",9,"2548979564_OAUDRAFT_AIDL01000045_1_45-circular",9,3,0,"","","4.55410923","3.361110201","","",2548979564,"Vibrio cyclitrophicus ZF99 : OAUDRAFT_AIDL01000045_1.45",2548876835,"Vibrio cyclitrophicus ZF99",10,10649,0.38,1,1,1
"2548980222_OC3DRAFT_AIDP01000117_1_117-circular",6,"2548980222_OC3DRAFT_AIDP01000117_1_117-circular",6,3,0,"","","4.06388487","2.692064558","","",2548980222,"Vibrio cyclitrophicus ZF255 : OC3DRAFT_AIDP01000117_1.117",2548876839,"Vibrio cyclitrophicus ZF255",6,7075,0.4,1,1,1
"2551323064_A1QSDRAFT_AJYS01000079_1_79-circular",23,"2551323064_A1QSDRAFT_AJYS01000079_1_79-circular",23,3,0,"","","gene_3-gene_21:10.84777945743660","gene_3-gene_21:6.11648452468717","","",2551323064,"Vibrio ordalii FS-238 : A1QSDRAFT_AJYS01000079_1.79",2551306060,"Vibrio ordalii FS-238",25,13552,0.45,1,1,1
"2551325204_A1QQDRAFT_AJYR01000227_1_227-circular",10,"2551325204_A1QQDRAFT_AJYR01000227_1_227-circular",10,3,0,"","2.091192745","5.186915253","3.944691192","","",2551325204,"Vibrio ordalii FF-167 : A1QQDRAFT_AJYR01000227_1.227",2551306068,"Vibrio ordalii FF-167",11,7915,0.39,1,1,1
"2551333247_A361DRAFT_ALEG01000018_1_18-circular",16,"2551333247_A361DRAFT_ALEG01000018_1_18-circular",16,3,0,"","","7.603765464","gene_2-gene_16:6.95400650654523","","",2551333247,"Bacillus oceanisediminis 2691 : A361DRAFT_ALEG01000018_1.18",2551306096,"Bacillus oceanisediminis 2691",16,12384,0.35,1,1,1
"2558862660_P400DRAFT_scaffold00002_2-circular",46,"2558862660_P400DRAFT_scaffold00002_2-circular",46,3,0,"","","12.91894295","gene_13-gene_46:6.26776145063179","","",2558862660,"Exiguobacterium marinum DSM 16307 : P400DRAFT_scaffold00002.2",2558860114,"Exiguobacterium marinum DSM 16307",46,39645,0.45,1,1,1
"2574179863_BO22DRAFT_scaffold00052_52-circular",17,"2574179863_BO22DRAFT_scaffold00052_52-circular",17,3,0,"","","gene_2-gene_17:9.28072382050138","gene_2-gene_17:7.49462099507435","","gene_4-gene_16:2.44681173147319",2574179863,"Propionigenium maris DSM 9537 : BO22DRAFT_scaffold00052.52",2574179702,"Propionigenium maris DSM 9537",18,12200,0.35,1,1,2
"2574185089_BS52DRAFT_scaffold00074_74-circular",9,"2574185089_BS52DRAFT_scaffold00074_74-circular",9,3,0,"","","4.55410923","4.55410923","","",2574185089,"Vibrio ruber DSM 16370 : BS52DRAFT_scaffold00074.74",2574179726,"Vibrio ruber DSM 16370",11,6825,0.4,1,1,1
"2597547862_Ga0061122_scaffold00108_108-circular",11,"2597547862_Ga0061122_scaffold00108_108-circular",11,3,0,"","","5.34674035","5.34674035","","",2597547862,"Ensifer meliloti DSM 23913 : Ga0061122_scaffold00108.108",2597490345,"Sinorhizobium meliloti DSM 23913",11,7887,0.57,1,1,1
"2630977685_Ga0081187_12-circular",11,"2630977685_Ga0081187_12-circular",11,3,0,"","","6.973334341","6.973334341","","gene_2-gene_11:3.35584926293010",2630977685,"Moorea producens-heterotrophic bacteria co-culture from Jamaica Moorea producens JHB 22AUG96-1 (Final Draft of Linear Chromosome and 2 Linear Plasmid Scaffolds) : Ga0081187_12",2630968265,"Moorea producens-heterotrophic bacteria co-culture from Jamaica (Final Draft of Linear Chromosome and 2 Linear Plasmid Scaffolds)",16,9474,0.43,1,1,1
"2651911207_Ga0110942_1176-circular",6,"2651911207_Ga0110942_1176-circular",6,3,0,"","","2.692064558","2.692064558","","4.259637311",2651911207,"Unclassified Chromatiales JTB255 bin_20_1J Ga0110942 : Ga0110942_1176",2651869885,"Unclassified Woeseiaceae bin20_1J",5,3190,0.49,1,1,1
