"Fragment","Scaffold.ID","Gene.Start","Gene.End","bp.Start","bp.End","Fragment.Length"
"647533937_NZ_DS999412-circular-gene_1745-gene_1810",647533937,1745,1810,1905440,1969070,63630
"643348578_NC_011566-gene_2273-gene_2282",643348578,2273,2282,2690277,2700247,9970
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2589-gene_2649",2526166977,2589,2649,2875756,2917328,41572
"2518681435_CP003677-gene_1360-gene_1414",2518681435,1360,1414,1476813,1518304,41491
"641522729_NC_010674-gene_2172-gene_2223",641522729,2172,2223,2330638,2362484,31846
"641522729_NC_010674-gene_2639-gene_2721",641522729,2639,2721,2821307,2873956,52649
"2690318780_Ga0045920_11-gene_2185-gene_2236",2690318780,2185,2236,2331572,2363418,31846
"2724812731_K09K1_contig000002-gene_3087-gene_3096",2724812731,3087,3096,3459391,3465668,6277
"647010922_NZ_ACZV01000004-circular-gene_818-gene_861",647010922,818,861,929076,962050,32974
"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_431-gene_530",2517093774,431,530,385623,463513,77890
"650377989_CP002377-circular-gene_2404-gene_2451",650377989,2404,2451,2595958,2633110,37152
"643692038_NC_012440-circular-gene_1738-gene_1798",643692038,1738,1798,1717883,1754803,36920
"641381032_NZ_ABGR01000017-circular-gene_2-gene_32",641381032,2,32,744,35872,35128
"2540355318_H276DRAFT_scaffold00001_1-circular-gene_733-gene_751",2540355318,733,751,758339,773444,15105
"2524708640_K337DRAFT_scaffold00002_2-circular-gene_199-gene_262",2524708640,199,262,216587,263421,46834
"2524708640_K337DRAFT_scaffold00002_2-circular-gene_776-gene_848",2524708640,776,848,811492,867042,55550
"2516493516_NitteDRAFT_scaffold1_1-circular-gene_1828-gene_1876",2516493516,1828,1876,1757417,1802060,44643
"647533937_NZ_DS999412-circular-gene_2641-gene_2698",647533937,2641,2698,2882543,2942386,59843
"647533937_NZ_DS999412-circular-gene_3956-gene_3984",647533937,3956,3984,4300099,4322413,22314
"647533937_NZ_DS999412-circular-gene_187-gene_234",647533937,187,234,168264,205394,37130
"647533937_NZ_DS999412-circular-gene_905-gene_972",647533937,905,972,977246,1027291,50045
"647533937_NZ_DS999412-circular-gene_1913-gene_1937",647533937,1913,1937,2073300,2090605,17305
"647533937_NZ_DS999412-circular-gene_0-gene_50",647533937,0,50,5013276,30348,-4982928
"647533937_NZ_DS999412-circular-gene_4032-gene_4081",647533937,4032,4081,4379596,4410368,30772
"2630977684_Ga0081187_11-circular-gene_3910-gene_4007",2630977684,3910,4007,5386966,5505410,118444
"646311943_NC_013440-gene_1014-gene_1103",646311943,1014,1103,1278302,1380293,101991
"646311943_NC_013440-gene_593-gene_803",646311943,593,803,781640,1031155,249515
"650716148_NC_015711-gene_3723-gene_3820",650716148,3723,3820,4307581,4397533,89952
"650716148_NC_015711-gene_5117-gene_5198",650716148,5117,5198,5952754,6025098,72344
"650716148_NC_015711-gene_7448-gene_7507",650716148,7448,7507,8940043,9002863,62820
"2631041750_Ga0081465_101-gene_1388-gene_1486",2631041750,1388,1486,1781102,1884722,103620
"637000467_NC_007645-gene_2579-gene_2678",637000467,2579,2678,2918487,2994677,76190
"637000467_NC_007645-gene_6132-gene_6174",637000467,6132,6174,6863337,6900524,37187
"637000467_NC_007645-gene_4099-gene_4144",637000467,4099,4144,4654311,4691573,37262
"637000467_NC_007645-gene_5070-gene_5165",637000467,5070,5165,5730149,5820562,90413
"637000467_NC_007645-gene_329-gene_378",637000467,329,378,380499,423375,42876
"643692052_NC_012490-gene_2276-gene_2334",643692052,2276,2334,2444253,2488197,43944
"643692052_NC_012490-gene_2510-gene_2597",643692052,2510,2597,2668810,2727185,58375
"2718228132_Ga0175156_11-gene_1886-gene_2025",2718228132,1886,2025,2063123,2193556,130433
"2506485008_Contig317-gene_4573-gene_4589",2506485008,4573,4589,5300854,5314526,13672
"2506485008_Contig317-gene_861-gene_960",2506485008,861,960,1008892,1090999,82107
"641228507_NC_009997-gene_771-gene_828",641228507,771,828,902045,946782,44737
"641228507_NC_009997-gene_2253-gene_2350",641228507,2253,2350,2634975,2726256,91281
"641228507_NC_009997-gene_2938-gene_2986",641228507,2938,2986,3439806,3477767,37961
"641228507_NC_009997-gene_2143-gene_2194",641228507,2143,2194,2526485,2571522,45037
"641228507_NC_009997-gene_2263-gene_2355",641228507,2263,2355,2649580,2731034,81454
"2631013058_Ga0046381_11-gene_770-gene_828",2631013058,770,828,900951,945080,44129
"2631013058_Ga0046381_11-gene_2879-gene_2918",2631013058,2879,2918,3389466,3420793,31327
"2631013058_Ga0046381_11-gene_2102-gene_2153",2631013058,2102,2153,2485996,2531033,45037
"651053104_CP002811-gene_1372-gene_1427",651053104,1372,1427,1549973,1586911,36938
"651053104_CP002811-gene_3763-gene_3823",651053104,3763,3823,4303951,4352302,48351
"651053104_CP002811-gene_2311-gene_2346",651053104,2311,2346,2618435,2646472,28037
"640753033_NC_009665-gene_2114-gene_2167",640753033,2114,2167,2481131,2527824,46693
"640753033_NC_009665-gene_734-gene_792",640753033,734,792,865059,908266,43207
"641522617_NC_010334-gene_1305-gene_1365",641522617,1305,1365,1570540,1619476,48936
"2524037964_FO203503-gene_4414-gene_4444",2524037964,4414,4444,5035903,5064438,28535
"637000580_NC_008228-gene_681-gene_739",637000580,681,739,774567,826700,52133
"2728434717_Ga0175483_11-gene_4890-gene_4960",2728434717,4890,4960,4971246,5032005,60759
"2728434717_Ga0175483_11-gene_2299-gene_2331",2728434717,2299,2331,2295307,2324472,29165
"2728434717_Ga0175483_11-gene_3929-gene_4004",2728434717,3929,4004,3999581,4061820,62239
"643348595_NC_011663-gene_757-gene_814",643348595,757,814,882667,925947,43280
"643348595_NC_011663-gene_2594-gene_2664",643348595,2594,2664,3062136,3116455,54319
"2507281626_Sbal625_Contig118_1-gene_2046-gene_2094",2507281626,2046,2094,2452419,2497104,44685
"2507281626_Sbal625_Contig118_1-gene_2172-gene_2219",2507281626,2172,2219,2588967,2627708,38741
"640069332_NC_009052-gene_1283-gene_1342",640069332,1283,1342,1444815,1486320,41505
"640069332_NC_009052-gene_3681-gene_3735",640069332,3681,3735,4211115,4254676,43561
"640069332_NC_009052-gene_2229-gene_2260",640069332,2229,2260,2519643,2548612,28969
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1652-gene_1755",2513256208,1652,1755,1921658,2020467,98809
"2718228709_Ga0175363_11-gene_1768-gene_1809",2718228709,1768,1809,2261011,2290543,29532
"2718228709_Ga0175363_11-gene_986-gene_1083",2718228709,986,1083,1319453,1390860,71407
"2561539978_Calab_Cab_131026_1-gene_1768-gene_1809",2561539978,1768,1809,2261011,2290543,29532
"2561539978_Calab_Cab_131026_1-gene_986-gene_1083",2561539978,986,1083,1319453,1390860,71407
"2643222989_Cab_131026-gene_191-gene_232",2643222989,191,232,237356,266888,29532
