"Genome.ID","NCBI.Taxon.ID","Status","Genome","Phylum","Class","Order","Family","Genus","Species","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy","Prophages.per.genome","Total.Size.Prophages","Genome.Size.Without.Prophage","Percentage.of.Genome.Prophage"
2501651208,58051,"Permanent Draft","Moritella sp. PE36","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","Moritella sp. PE36","PE36","Yes","Environmental","Aquatic","Marine","Coastal",5286066,4854,26,"Genome Analysis","Whole Genome Sequencing",1,50709,5235357,0.959295627409874
2527291540,655186,"Draft","SUP05 cluster bacterium AB-755_C07D09 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-755_C07D09","No","Environmental","Aquatic","Marine","Unclassified",529035,609,60,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4673,524362,0.88330639749733
2527291542,655186,"Draft","SUP05 cluster bacterium AB-755_C14H09 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-755_C14H09","No","Environmental","Aquatic","Marine","Unclassified",744059,897,67,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4673,739386,0.628041593475786
2527291548,655186,"Draft","SUP05 cluster bacterium AB-755_E23A01 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-755_E23A01","No","Environmental","Aquatic","Marine","Unclassified",612005,747,65,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4631,607374,0.756693164271534
2527291549,655186,"Draft","SUP05 cluster bacterium AB-755_G23A03 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-755_G23A03","No","Environmental","Aquatic","Marine","Unclassified",243628,303,38,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4652,238976,1.90946853399445
2527291555,655186,"Draft","SUP05 cluster bacterium AB-755_P16B10 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-755_P16B10","No","Environmental","Aquatic","Marine","Unclassified",419084,529,49,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4657,414427,1.11123307021981
2527291557,655186,"Draft","SUP05 cluster bacterium AB-754_B15AB-905 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-754_B15AB-905","No","Environmental","Aquatic","Marine","Unclassified",340882,452,42,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4673,336209,1.370855603992
2527291586,655186,"Draft","SUP05 cluster bacterium AB-754_O20AB-906 (unscreened)","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","Candidatus Thioglobus","uncultured SUP05 cluster bacterium","AB-754_O20AB-906","No","Environmental","Aquatic","Marine","Unclassified",238482,333,34,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,4656,233826,1.95234860492616
2541047540,1244140,"Permanent Draft","Enterococcus faecalis LA3B-2","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","LA3B-2","Yes","Environmental","Aquatic","Marine","",2892708,3054,127,"Genome Analysis","Whole Genome Sequencing",1,5420,2887288,0.187367684536427
2513020040,114053,"Draft","Pseudoalteromonas sp. PRT007 (unscreened)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","uncultured Pseudoalteromonas sp.","PRT007","No","Environmental","Aquatic","Marine","Unclassified",2671276,3247,965,"Single Cell Analysis (unscreened)","Whole Genome Sequencing",1,51112,2620164,1.91339270071681
