"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID.x","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome","Scaffold.ID.y","Gene.Start","Gene.End","bp.Start","bp.End","Fragment.Length"
"2518681435_CP003677",4382,"2518681435_CP003677-gene_1360-gene_1411",52,1,3,"gene_1360-gene_1411:2.83179096058662","","gene_1360-gene_1409:24.27650588618120","","","",2518681435,"Pseudomonas stutzeri Ursing AN10, CCUG 29243 : CP003677",2518645567,"Pseudomonas stutzeri AN10, CCUG 29243",4374,4709064,0.63,1,1,1,2518681435,1360,1411,1476813,1516770,39957
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2588-gene_2649",62,1,3,"gene_2588-gene_2649:13.80194831039812","","gene_2588-gene_2649:25.43125468769136","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3,2526166977,2588,2649,2875271,2917328,42057
"2506213072_Contig398",4215,"2506213072_Contig398-gene_1804-gene_1865",62,2,6,"gene_1804-gene_1858:4.35407936340597","","gene_1804-gene_1865:22.54251269355925","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,3,3,2506213072,1804,1865,2005664,2053485,47821
"2506213072_Contig398",4215,"2506213072_Contig398-gene_4176-gene_4195",20,2,1,"","","gene_4176-gene_4195:4.61915604453582","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,3,3,2506213072,4176,4195,4652481,4664967,12486
"2506485008_Contig317",4900,"2506485008_Contig317-gene_863-gene_960",98,2,3,"","","gene_863-gene_960:31.44035106972052","gene_864-gene_960:12.85298437106576","","",2506485008,"Anabaena sp. PCC 7108 : Contig317",2506485002,"Anabaena sp. PCC 7108",5076,5714552,0.39,1,5,5,2506485008,863,960,1011820,1090999,79179
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_192-gene_273",82,2,1,"","","gene_192-gene_273:11.53466825361834","gene_203-gene_232:5.77850861202254","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9,2507267694,192,273,216670,305767,89097
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2020-gene_2098",79,2,1,"","","gene_2020-gene_2098:10.06044801409356","gene_2020-gene_2084:3.59869943173860","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9,2507267694,2020,2098,1950549,2021557,71008
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2693-gene_2762",70,2,1,"","","gene_2693-gene_2762:8.95868757232921","gene_2736-gene_2753:3.51704924432893","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9,2507267694,2693,2762,2613864,2685797,71933
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2046-gene_2094",49,2,4,"","","gene_2046-gene_2094:8.83203967399913","","","",2507281626,"Shewanella baltica OS625 : Sbal625_Contig118.1",2507262035,"Shewanella baltica OS625",4558,5145631,0.46,1,2,2,2507281626,2046,2094,2452419,2497104,44685
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2172-gene_2219",48,2,0,"","gene_2192-gene_2212:2.89894553668327","gene_2172-gene_2219:12.68530651438125","gene_2172-gene_2219:5.45464093823868","","gene_2174-gene_2215:2.75033895147907",2507281626,"Shewanella baltica OS625 : Sbal625_Contig118.1",2507262035,"Shewanella baltica OS625",4558,5145631,0.46,1,2,2,2507281626,2172,2219,2588967,2627708,38741
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_672-gene_764",93,2,5,"gene_691-gene_764:2.21637756995165","","gene_672-gene_733:28.69982469016216","","","",2511244427,"Pelagibacterium halotolerans B2 : NC_016078",2511231054,"Pelagibacterium halotolerans B2",3937,3944837,0.61,1,2,2,2511244427,672,764,676603,756211,79608
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_909-gene_925",17,2,1,"","","gene_909-gene_925:4.24656208613868","","","",2511244427,"Pelagibacterium halotolerans B2 : NC_016078",2511231054,"Pelagibacterium halotolerans B2",3937,3944837,0.61,1,2,2,2511244427,909,925,916135,932318,16183
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3164-gene_3224",61,2,6,"","","gene_3164-gene_3224:29.81041756212601","gene_3189-gene_3224:5.80852581904423","","",2512205695,"Acetobacterium woodii WB1, DSM 1030 : CP002987",2512047040,"Acetobacterium woodii WB1, DSM 1030",3561,4044777,0.39,1,3,3,2512205695,3164,3224,3568170,3601737,33567
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3566-gene_3646",81,2,6,"gene_3590-gene_3646:2.44000001713675","","gene_3566-gene_3643:31.21136499606109","","","gene_3570-gene_3641:3.78372788569503",2512205695,"Acetobacterium woodii WB1, DSM 1030 : CP002987",2512047040,"Acetobacterium woodii WB1, DSM 1030",3561,4044777,0.39,1,3,3,2512205695,3566,3646,3955988,4009903,53915
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_1-gene_35",35,2,1,"","","gene_1-gene_33:7.48212455943115","gene_1-gene_35:3.33652174120378","","",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3,2512211939,1,35,0,21245,21245
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_2735-gene_2790",56,2,1,"gene_2745-gene_2779:2.10657972193813","","gene_2735-gene_2790:21.72496910105419","","","",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3,2512211939,2735,2790,2857205,2898302,41097
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_3312-gene_3405",94,2,4,"","","gene_3312-gene_3405:20.47692943031494","gene_3366-gene_3396:11.83691483645620","","gene_3371-gene_3394:7.64590228711917",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3,2512211939,3312,3405,3455437,3520745,65308
"2512564983_OA238_c",5604,"2512564983_OA238_c-gene_4348-gene_4433",86,2,1,"","","gene_4348-gene_4433:19.93412987425982","","","",2512564983,"Octadecabacter arcticus 238 : OA238_c",2512564006,"Octadecabacter arcticus 238, DSM 13978",4869,5200279,0.55,1,2,2,2512564983,4348,4433,4048829,4116476,67647
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1289-gene_1360",72,2,3,"","","gene_1289-gene_1360:31.88991391370386","gene_1290-gene_1355:6.07340857561969","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4,2512569605,1289,1360,1295144,1345745,50601
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1786-gene_1861",76,2,3,"","","gene_1786-gene_1861:4.12037581527173","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4,2512569605,1786,1861,1791364,1854045,62681
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_2139-gene_2184",46,2,3,"","","gene_2139-gene_2184:18.28722241645200","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4,2512569605,2139,2184,2141757,2177757,36000
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_3039-gene_3094",56,2,2,"","","gene_3039-gene_3094:9.69281179873232","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4,2512569605,3039,3094,3066207,3120558,54351
"2512571803_NC_016940",3406,"2512571803_NC_016940-gene_561-gene_646",86,2,1,"","","gene_561-gene_646:3.26483585939784","","","",2512571803,"Saprospira grandis Lewin : NC_016940",2512564032,"Saprospira grandis Lewin",4266,4345237,0.46,1,8,8,2512571803,561,646,724728,841835,117107
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1",4264,"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1656-gene_1755",100,2,3,"","","gene_1656-gene_1753:32.73788832406797","gene_1656-gene_1755:6.95328999612429","","",2513256208,"Glaciecola sp. ANT9081 (cola82) : cola_cola-finished-ohne-overlap_screen_ace_1.1",2513237134,"Glaciecola sp. ANT9081 (cola82)",4330,4996068,0.39,1,8,8,2513256208,1656,1755,1923837,2020467,96630
