Phylum,Number.of.genomes,Percent.Complete.Genomes,Percent.Cultured.Genomes,Percent.SAGs,Percent.from.metagenomes,Average.genome.size,Median.genome.size,Min.genome.size,Max.genome.size,Average.Num.Contigs,Median.Num.Contigs,Min.Num.Contigs,Max.Num.Contigs
Actinobacteria,87,6.896551724,50.57471264,9.195402299,40.22988506,3911131.517,3651628,323903,9743327,364.7586207,92,1,5259
Bacteroidetes,100,22,74,17,9,3412462.2,3812086,283094,7298817,46.8,24.5,1,403
Chloroflexi,79,0,3.797468354,68.35443038,27.84810127,1453177.759,1360691,153247,4668865,91.79746835,52,5,527
Cyanobacteria,119,26.05042017,84.03361345,5.042016807,9.243697479,2720017.672,1792524,89264,9708656,96.93277311,14,1,1820
Deferribacteres,12,16.66666667,16.66666667,75,8.333333333,1117502.583,699070,241219,3099908,69,23,1,557
Firmicutes,51,27.45098039,94.11764706,0,5.882352941,3394417.412,3303464,1778734,5760615,69.84313725,37,1,458
Marinimicrobia,21,0,0,52.38095238,47.61904762,1249220.857,1155982,238836,2811623,119.3333333,59,10,287
Nitrospirae,13,0,7.692307692,0,92.30769231,2439621.538,2050278,735991,5957751,187.9230769,140,1,733
Planctomycetes,28,3.571428571,17.85714286,3.571428571,71.42857143,3554373.321,3084993.5,397145,7642810,277.9285714,226,1,1546
Proteobacteria,725,16.13793103,69.79310345,12,16.96551724,3513416.534,3712079,1824,10587646,120.3324138,41,1,6769
Thermotogae,25,40,100,0,0,1891479.68,1869644,1635651,2312367,13.36,4,1,87
