Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_2501651735_PE3_Contig_595-circular,53,VIRSorter_2501651735_PE3_Contig_595-circular,53,1,2,3.150659498,,28.87300354,gene_13-gene_47:4.93508387568052,2.692612457,
VIRSorter_2527303452_AB755C07D09_contig_56_0_52-circular,7,VIRSorter_2527303452_AB755C07D09_contig_56_0_52-circular,7,1,2,3.751990014,10.72118176,4.777848433,,,
VIRSorter_2527303585_AB755C14H09_contig_61_0_59-circular,7,VIRSorter_2527303585_AB755C14H09_contig_61_0_59-circular,7,1,1,3.751990014,10.72118176,4.777848433,,,2.564155634
VIRSorter_2527303965_AB755E23A01_contig_63_0_60-circular,7,VIRSorter_2527303965_AB755E23A01_contig_63_0_60-circular,7,1,2,3.751990014,14.00884551,4.777848433,,,
VIRSorter_2527303998_AB755G23A03_contig_32_0_28-circular,7,VIRSorter_2527303998_AB755G23A03_contig_32_0_28-circular,7,1,2,5.280383168,14.00884551,4.777848433,,,
VIRSorter_2527304309_AB755P16B10_contig_42_0_38-circular,7,VIRSorter_2527304309_AB755P16B10_contig_42_0_38-circular,7,1,2,3.751990014,14.00884551,4.777848433,,,
VIRSorter_2527304396_AB754B15AB_contig_38_0_34-circular,7,VIRSorter_2527304396_AB754B15AB_contig_38_0_34-circular,7,1,2,3.751990014,14.00884551,4.777848433,,,
VIRSorter_2527318261_AB754O20906_contig_29_0_28-circular,7,VIRSorter_2527318261_AB754O20906_contig_29_0_28-circular,7,1,2,3.751990014,14.00884551,4.777848433,,,
VIRSorter_2541145441_ATJC01000124-circular,6,VIRSorter_2541145441_ATJC01000124-circular,6,1,2,3.062457552,14.55260262,2.717138759,,,
VIRSorter_2513028312_Alt07DRAFT_contig_827_827-circular,73,VIRSorter_2513028312_Alt07DRAFT_contig_827_827-circular,73,2,3,gene_14-gene_64:3.23059886826925,,38.13899728,gene_2-gene_73:7.36138248968593,gene_13-gene_54:3.11629415049241,gene_31-gene_74:3.00309794071453
VIRSorter_2517434717_A3EYDRAFT_scaffold00015_15-circular,25,VIRSorter_2517434717_A3EYDRAFT_scaffold00015_15-circular,25,2,3,,,8.481459101,,,
VIRSorter_2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular,73,VIRSorter_2518660831_TAATCG_NODE_1840_len_51146_cov_254_828_1841-circular,73,2,3,gene_0-gene_54:3.26966313589270,,gene_4-gene_72:41.35593936712993,gene_12-gene_72:9.95989574064471,gene_4-gene_44:2.96309516274348,gene_21-gene_69:5.30618771918107
VIRSorter_2531877735_AMRJ01000068-circular,5,VIRSorter_2531877735_AMRJ01000068-circular,5,2,,3.771702263,,3.412748881,,,3.337242168
VIRSorter_2551322688_A142DRAFT_AJZD01000300_1_300-circular,5,VIRSorter_2551322688_A142DRAFT_AJZD01000300_1_300-circular,5,2,,,5.132923314,2.110149111,,,2.067526235
VIRSorter_2551324408_A148DRAFT_AJZJ01000420_1_420-circular,6,VIRSorter_2551324408_A148DRAFT_AJZJ01000420_1_420-circular,6,2,,,4.957080731,2.717138759,,,
VIRSorter_2574179835_BO22DRAFT_scaffold00024_24-circular,67,VIRSorter_2574179835_BO22DRAFT_scaffold00024_24-circular,67,2,1,,,32.59644436,gene_0-gene_66:12.60033521821238,gene_5-gene_67:2.06708287844387,gene_27-gene_50:8.52882551445552
VIRSorter_2634525851_Ga0002050_131-circular,24,VIRSorter_2634525851_Ga0002050_131-circular,24,2,,,gene_16-gene_25:7.86474464389702,10.68833772,gene_3-gene_21:4.94629732612777,,gene_15-gene_24:2.96074773029232
VIRSorter_2654619631_Ga0111170_1001-circular,73,VIRSorter_2654619631_Ga0111170_1001-circular,73,2,3,,,44.06175478,gene_2-gene_73:19.77308946729046,gene_6-gene_74:3.60774469006029,gene_2-gene_35:6.02867789124296
VIRSorter_2654619813_Ga0111171_1001-circular,72,VIRSorter_2654619813_Ga0111171_1001-circular,72,2,3,,,43.39874659,gene_2-gene_72:20.31461582113904,gene_6-gene_59:3.59093118258326,gene_2-gene_30:5.42061873717830
VIRSorter_2654625852_Ga0111158_1004-circular,81,VIRSorter_2654625852_Ga0111158_1004-circular,81,2,1,gene_26-gene_67:5.39836202393743,,49.37558232,13.8756608,4.208977182,gene_0-gene_19:3.03510546772974
VIRSorter_2654630214_Ga0111192_1004-circular,39,VIRSorter_2654630214_Ga0111192_1004-circular,39,2,2,gene_9-gene_39:2.83324588225891,,23.95198832,gene_1-gene_26:3.29157486008111,gene_6-gene_39:2.54131263057376,
VIRSorter_2654632964_Ga0111206_129-circular,62,VIRSorter_2654632964_Ga0111206_129-circular,62,2,2,,,34.71915068,gene_2-gene_62:11.90695417768956,2.018742538,gene_15-gene_55:8.28377001902608
VIRSorter_2675939236_Ga0104442_125-circular,100,VIRSorter_2675939236_Ga0104442_125-circular,100,2,4,,,52.06103852,gene_2-gene_96:20.92291765382129,,gene_38-gene_99:8.33033391888241
VIRSorter_651331075_NZ_AEVK01000129-circular,14,VIRSorter_651331075_NZ_AEVK01000129-circular,14,2,,,gene_5-gene_14:5.94495182786857,gene_4-gene_14:6.33195627922230,gene_2-gene_11:2.80810465872952,,
VIRSorter_2235762201_A164I21DRAFT_NODE-unique_20_len_12046_20-circular,10,VIRSorter_2235762201_A164I21DRAFT_NODE-unique_20_len_12046_20-circular,10,3,,,,6.825497762,3.984195918,,
VIRSorter_2236662105_A300J16DRAFT_NODE-unique_30_len_7868_30-circular,11,VIRSorter_2236662105_A300J16DRAFT_NODE-unique_30_len_7868_30-circular,11,3,,,,5.39786881,gene_3-gene_12:3.50707466306554,,gene_3-gene_12:2.30937761663574
VIRSorter_2264418464_A3IMDRAFT_NODE-unique_50_len_8879_50-circular,13,VIRSorter_2264418464_A3IMDRAFT_NODE-unique_50_len_8879_50-circular,13,3,,,,gene_2-gene_13:7.19059731448507,gene_2-gene_13:5.52059455073557,,
VIRSorter_2264418709_A39GDRAFT_NODE-unique_15_len_8869_15-circular,13,VIRSorter_2264418709_A39GDRAFT_NODE-unique_15_len_8869_15-circular,13,3,,,,6.169097039,gene_3-gene_13:4.87499006443063,,
VIRSorter_2515155580_FiPS3_scaffold_68_len_7742_splicings_1_69-circular,13,VIRSorter_2515155580_FiPS3_scaffold_68_len_7742_splicings_1_69-circular,13,3,,,,6.169097039,4.799241516,,5.309268473
VIRSorter_2515164794_B164DRAFT_scaffold_46_47-circular,21,VIRSorter_2515164794_B164DRAFT_scaffold_46_47-circular,21,3,,,,4.17443133,gene_2-gene_20:4.06489334246450,,
VIRSorter_2519123457_F609DRAFT_scaffold00054_54-circular,7,VIRSorter_2519123457_F609DRAFT_scaffold00054_54-circular,7,3,,,,4.777848433,4.777848433,,
VIRSorter_2523242098_G551DRAFT_scaffold00017_17-circular,19,VIRSorter_2523242098_G551DRAFT_scaffold00017_17-circular,19,3,,,,gene_1-gene_16:5.92321930133012,gene_2-gene_13:2.32908526824863,,
VIRSorter_2527322931_AB750C22904_contig_14_0_15-circular,20,VIRSorter_2527322931_AB750C22904_contig_14_0_15-circular,20,3,,,,gene_4-gene_20:6.47317568885483,gene_4-gene_17:3.40207825675591,,
VIRSorter_2548889134_IQADRAFT_AGAU01000393_1_393-circular,9,VIRSorter_2548889134_IQADRAFT_AGAU01000393_1_393-circular,9,3,,,,6.142947986,3.395426787,,
VIRSorter_2548977535_OA9DRAFT_AIDA01000033_1_33-circular,7,VIRSorter_2548977535_OA9DRAFT_AIDA01000033_1_33-circular,7,3,,,2.222109354,4.777848433,3.335346869,,
VIRSorter_2548979314_OAYDRAFT_AIDO01000035_1_35-circular,29,VIRSorter_2548979314_OAYDRAFT_AIDO01000035_1_35-circular,29,3,,,,gene_0-gene_27:8.26728455654832,gene_0-gene_26:3.63680851823714,,
VIRSorter_2548979564_OAUDRAFT_AIDL01000045_1_45-circular,9,VIRSorter_2548979564_OAUDRAFT_AIDL01000045_1_45-circular,9,3,,,,4.594799937,3.395426787,,
VIRSorter_2548980222_OC3DRAFT_AIDP01000117_1_117-circular,6,VIRSorter_2548980222_OC3DRAFT_AIDP01000117_1_117-circular,6,3,,,,4.095298657,2.717138759,,
VIRSorter_2551323064_A1QSDRAFT_AJYS01000079_1_79-circular,23,VIRSorter_2551323064_A1QSDRAFT_AJYS01000079_1_79-circular,23,3,,,,gene_3-gene_21:10.94725644886476,gene_3-gene_21:6.19641746321557,,
VIRSorter_2551325204_A1QQDRAFT_AJYR01000227_1_227-circular,10,VIRSorter_2551325204_A1QQDRAFT_AJYR01000227_1_227-circular,10,3,,,2.067766436,5.232823205,3.984195918,,
VIRSorter_2551333247_A361DRAFT_ALEG01000018_1_18-circular,16,VIRSorter_2551333247_A361DRAFT_ALEG01000018_1_18-circular,16,3,,,,7.681024361,gene_2-gene_16:7.02603681498580,,
VIRSorter_2558862660_P400DRAFT_scaffold00002_2-circular,46,VIRSorter_2558862660_P400DRAFT_scaffold00002_2-circular,46,3,,,,11.9934683,gene_13-gene_46:6.38034179595525,,
VIRSorter_2574179863_BO22DRAFT_scaffold00052_52-circular,17,VIRSorter_2574179863_BO22DRAFT_scaffold00052_52-circular,17,3,,,,gene_2-gene_17:9.36449391854614,gene_2-gene_17:7.57187989184056,,gene_4-gene_16:2.44681173147319
VIRSorter_2574185089_BS52DRAFT_scaffold00074_74-circular,9,VIRSorter_2574185089_BS52DRAFT_scaffold00074_74-circular,9,3,,,,4.594799937,4.594799937,,
VIRSorter_2585503063_EJ41DRAFT_scaffold00022_22-circular,33,VIRSorter_2585503063_EJ41DRAFT_scaffold00022_22-circular,33,3,,,,gene_2-gene_33:7.65354371443370,gene_11-gene_33:2.82016756852299,,
VIRSorter_2588286426_JAMC01000014-circular,27,VIRSorter_2588286426_JAMC01000014-circular,27,3,,,,gene_3-gene_28:8.99291770141343,gene_7-gene_18:4.28759844034341,,
VIRSorter_2597547862_Ga0061122_scaffold00108_108-circular,11,VIRSorter_2597547862_Ga0061122_scaffold00108_108-circular,11,3,,,,5.39786881,4.10498265,,
VIRSorter_2630977685_Ga0081187_12-circular,11,VIRSorter_2630977685_Ga0081187_12-circular,11,3,,,,7.030926284,7.030926284,,gene_2-gene_11:3.35584926293010
VIRSorter_2651911207_Ga0110942_1176-circular,6,VIRSorter_2651911207_Ga0110942_1176-circular,6,3,,,,2.717138759,2.717138759,,4.259637311
VIRSorter_2654622599_Ga0111186_1188-circular,10,VIRSorter_2654622599_Ga0111186_1188-circular,10,3,,,,6.825497762,3.984195918,,
VIRSorter_643692037_NC_012439-circular,68,VIRSorter_643692037_NC_012439-circular,68,3,,,,17.58963082,12.71438446,,
VIRSorter_647533410_NZ_DS989854-circular,174,VIRSorter_647533410_NZ_DS989854-circular,174,3,,,,gene_48-gene_141:12.23969715614749;gene_1-gene_38:6.37596401756110,gene_3-gene_86:3.38803299893189;gene_108-gene_132:3.23036092787741,,
VIRSorter_647533883_NZ_DS999358-circular,48,VIRSorter_647533883_NZ_DS999358-circular,48,3,,,,7.293886674,2.284962046,,
VIRSorter_651331101_NZ_AEVK01000155-circular,6,VIRSorter_651331101_NZ_AEVK01000155-circular,6,3,,,2.288869742,4.095298657,,,
