taxon_oid,Domain,Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,IMG Product Assignment,IMG Release,IMG Submission ID,JGI Project ID / ITS PID,JGI Analysis Product Name,JGI Analysis Project Type,GOLD Analysis Project ID,GOLD Analysis Project Type,GOLD Sequencing Project ID,GOLD Study ID,Add Date,Assembly Method,Combined Sample,Comments,Distance Matrix Calc. Date,Funding Agency,Gene Model QC,Genome Completeness %,High Quality,Is Public,NCBI Taxon ID,NCBI Project ID,RefSeq Project ID,Release Date,Strain,Submission Type,User Access,Alt. Contact Email,Alt. Contact Name,Alt2. Contact Emails ,Alt2. Contact Names ,Altitude,Bioproject Accession,Biosample Accession,Biotic Relationships,Cell Arrangement,Cell Shape,Chlorophyll concentration,Clade,Contact Email,Contact Name,Culture Type,Cultured,Depth,Diseases,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Energy Source,Funding Program,Geographic Location,GOLD Sequencing Depth,GOLD Sequencing Quality,GOLD Sequencing Strategy,GPTS Proposal Id,Gram Staining,Habitat,HMP ID,Host Gender,Host Name,Isolation,Isolation Country,ITS PID,ITS Proposal Id,Latitude,Longhurst Code,Longhurst Description,Longitude,Medical Record Number,Metabolism,Motility,Nitrate Concentration,Oxygen concentration,Oxygen Requirement,pH,Phenotype,PMO ID,Pressure,Project / Study Name,Proportal Isolation,Proportal Ocean,Proportal Station,Proportal WOA Dissolved Oxygen,Proportal WOA Nitrate,Proportal WOA Phosphate,Proportal WOA Salinity,Proportal WOA Silicate,Proportal WOA Temperature,Relevance,Replicate,Salinity,Salinity Concentration,Sample Body Site,Sample Body Subsite,Sample Collection Date ,Sample Collection Temperature,Seq Status,Sequencing Method,Specific Ecosystem,Sporulation,Temperature Range,Type Strain,Uncultured Type,Visits,Genome Size   * assembled,Gene Count   * assembled,Scaffold Count   * assembled,CRISPR Count   * assembled,GC Count   * assembled,GC   * assembled,Coding Base Count ,Coding Base Count % ,Coding Base Count NP ,Coding Base Count NP % ,CDS Count   * assembled,CDS %   * assembled,RNA Count   * assembled,RNA %  * assembled,rRNA Count   * assembled,5S rRNA Count   * assembled,16S rRNA Count   * assembled,18S rRNA Count   * assembled,23S rRNA Count   * assembled,28S rRNA Count   * assembled,tRNA Count   * assembled,Other RNA Count   * assembled,Pseudo Genes Count ,Pseudo Genes % ,Unchar Count ,Unchar % ,Dubious Count,Dubious %,w/ Func Pred Count   * assembled,w/ Func Pred %   * assembled,w/o function prediction  * assembled,w/o function prediction %  * assembled,Orthologs Count,Orthologs %,Paralogs Count,Paralogs %,Obsolete Count ,Obsolete % ,Revised Count ,Revised % ,Fused Count ,Fused % ,Fusion Component Count ,Fusion component % ,COG Count   * assembled,COG %   * assembled,KOG Count ,KOG % ,Pfam Count   * assembled,Pfam %   * assembled,TIGRfam Count   * assembled,TIGRfam %   * assembled,Enzyme Count   * assembled,Enzyme %   * assembled,KEGG Count   * assembled,KEGG %   * assembled,Not KEGG Count   * assembled,Not KEGG %   * assembled,KO Count   * assembled,KO %   * assembled,Not KO Count   * assembled,Not KO %   * assembled,MetaCyc Count   * assembled,MetaCyc %   * assembled,Not MetaCyc Count   * assembled,Not MetaCyc %   * assembled,IMG Term Count ,IMG Term % ,IMG Pathwawy Count ,IMG Pathway % ,IMG Parts List Count ,IMG Parts List % ,MyIMG Annotation Count,MyIMG Annotation %,Signal Peptide Count ,Signal Peptide % ,Transmembrane Count ,Transmembrane % ,Horizontally Transferred Count,Horizontally Transferred %,Genome Property Count ,Genome Property % ,Ortholog Group Count,Paralog Group Count,COG Cluster Count   * assembled,KOG Cluster Count ,Pfam Cluster Count   * assembled,TIGRfam Cluster Count   * assembled,IMG Cluster Count,IMG Cluster %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,Biosynthetic Cluster Gene Count  * assembled,Biosynthetic Cluster Gene %  * assembled,Biosynthetic Cluster Count  * assembled,InterPro Count ,InterPro % 
2512047040,Bacteria,Finished,"Acetobacterium woodii WB1, DSM 1030","Acetobacterium woodii WB1, DSM 1030",University of Gottingen,2512047040,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Yes,0,7575,0,,Genome Analysis,Ga0009490,Genome Analysis,Gp0009137,Gs0000195,2012-03-23,,,,2017-05-01,,No,,Yes,Yes,931626,60713,88073,2012-03-23,"WB1, DSM 1030",Primary,,Ioanna.Pagani@thermofisher.com,Ioanna Pagani,vmueller@biologie.uni-frankfurt.de; ipagani@lbl.gov,Volker Mueller; Ionna Pagani,,PRJNA60713,,,Singles,,,,vmueller@biologie.uni-frankfurt.de,Volker Mueller,Isolate,Yes,,,Environmental,Aquatic,Intertidal zone,Marine,,,,"Woods Hole, MA",,Level 6: Finished,Whole Genome Sequencing,,Gram+,"Aquatic, Mud, Ponds, Sediment",,,,"Black sediment of Oyster Pond inlet, Woods Hole, MA, USA",,,,41.528,,,-70.673,,,Motile,,,Anaerobe,,,,,"Acetobacterium woodii WB1, DSM 1030",,,,0,,0,0,0,0,"Acetate production, Biochemical",,,,,,,,Complete,"454-GS-FLX, 454-GS-FLX-Titanium, Sanger",Sediment,,Mesophile,Yes,,,4044777,3561,1,1,1591140,0.39,3477429,85.97,3468991,85.76,3486,97.89,75,2.11,16,6,5,0,5,0,59,0,13,0.37,0,0,0,0,2942,82.62,544,15.28,0,0,514,14.43,0,0,0,0,12,0.34,0,0,2382,66.89,577,16.2,2977,83.6,1101,30.92,912,25.61,1004,28.19,2482,69.7,1742,48.92,1744,48.98,817,22.94,2669,74.95,367,10.31,149,4.18,155,4.35,0,0,130,3.65,828,23.25,138,3.88,0,0,0,202,1346,374,1778,890,0,0,3452,96.94,484,158,4.44,16,2993,84.05
2616644801,Bacteria,Draft,"Black smoker hydrothermal chimney microbial communities from Manus Basin, Bismarck Sea",Acidiferrobacter_a7,Max Planck Institute for Marine Microbiology,2616644801,Proteobacteria,unclassified,unclassified,unclassified,unclassified,unidentified marine proteobacterium,Yes,0,61825,0,,Genome from Metagenome,Ga0072641,Genome from Metagenome,Gp0096878,Gs0111369,2015-05-14,IDBA_UD+SPAdes,,"Public release -   Petra Pjevac    (April 13, 2016)",2017-05-01,,No,88.77,No,Yes,56764,0,0,2016-04-13,,Primary,,pjevac@microbial-ecology.net,Petra Pjevac,pjevac@microbial-ecology.net,Petra Pjevac,,,,,,,,,pjevac@microbial-ecology.net,Petra Pjevac,,No,,,Environmental,Aquatic,Hydrothermal vents,Marine,,,,,,,Metagenome,,,Black smoker hydrothermal chimney,,,,,,,,,,,,,,,,,,,,,,373A,,,,0,,0,0,0,0,,,,,,,,,Complete,Illumina MiSeq,Black smokers,,,,,,2041809,2092,66,1,1407586,0.69,1933109,94.69,1933109,94.69,2059,98.42,33,1.58,1,0,1,0,0,0,27,5,0,0,0,0,0,0,1702,81.36,357,17.07,0,0,137,6.55,0,0,0,0,45,2.15,0,0,1450,69.31,419,20.03,1776,84.89,906,43.31,667,31.88,747,35.71,1312,62.72,1270,60.71,789,37.72,582,27.82,1477,70.6,352,16.83,168,8.03,114,5.45,1,0.05,241,11.52,438,20.94,69,3.3,0,0,0,66,1141,341,1523,860,0,0,2082,99.52,99,84,4.02,7,1222,58.41
2718218515,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_D11 (contamination screened),DOE Joint Genome Institute (JGI),2718218515,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,119020,1110685,Microbial Minimal Draft Single Cell Screened Genome,Single Cell Analysis (screened),Ga0180956,Single Cell Analysis (screened),Gp0207909,Gs0128773,2017-03-09,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-03-23,JGI 01_D11,Primary,,,,dboeuf@hawaii.edu; edelong@hawaii.edu; dkarl@hawaii.edu,Dominique Boeuf; Edward DeLong; David Karl,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,200 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110685,1933,22.7519,,,158.008,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_D11,,,,0,,0,0,0,0,,,,,,,,,,Illumina NextSeq-HO,,,,,Single Cell,,323903,392,19,0,106071,0.33,312968,96.63,312968,96.63,374,95.41,18,4.59,0,0,0,0,0,0,17,0,0,0,0,0,0,0,315,80.36,59,15.05,0,0,11,2.81,0,0,0,0,18,4.59,0,0,267,68.11,111,28.32,320,81.63,175,44.64,138,35.2,168,42.86,206,52.55,240,61.22,134,34.18,127,32.4,247,63.01,134,34.18,48,12.24,59,15.05,0,0,10,2.55,79,20.15,272,69.39,0,0,0,0,259,108,366,182,0,0,392,100,21,0,0,0,229,58.42
2718218514,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_D11 (unscreened),DOE Joint Genome Institute (JGI),2718218514,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,119019,1110685,Microbial Minimal Draft Single Cell Raw Genome,Single Cell Analysis (unscreened),Ga0181208,Single Cell Analysis (unscreened),Gp0207909,Gs0128773,2017-03-09,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-03-23,JGI 01_D11,Reanalysis,,,,dboeuf@hawaii.edu; edelong@hawaii.edu; dkarl@hawaii.edu,Dominique Boeuf; Edward DeLong; David Karl,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,200 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110685,1933,22.7519,,,158.008,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_D11,,,,0,,0,0,0,0,,,,,,,,,,Illumina NextSeq-HO,,,,,Single Cell,,473535,581,48,0,154504,0.33,456508,96.41,456508,96.41,559,96.21,22,3.79,3,1,1,0,1,0,17,2,0,0,0,0,0,0,451,77.62,108,18.59,0,0,20,3.44,0,0,0,0,22,3.79,0,0,364,62.65,152,26.16,459,79,221,38.04,191,32.87,219,37.69,340,58.52,315,54.22,244,42,175,30.12,384,66.09,156,26.85,61,10.5,64,11.02,0,0,15,2.58,115,19.79,400,68.85,0,0,0,0,335,142,486,221,0,0,581,100,50,0,0,0,313,53.87
2721755855,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_E13 (contamination screened),DOE Joint Genome Institute (JGI),2721755855,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,119175,1110730,Microbial Minimal Draft Single Cell Screened Genome,Single Cell Analysis (screened),Ga0181334,Single Cell Analysis (screened),Gp0207908,Gs0128773,2017-03-23,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-10,JGI 01_E13,Primary,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,500 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110730,1933,22.7519,,,158.008,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_E13,,,,0,,0,0,0,0,,,,,,,,,,Illumina NextSeq-HO,,,,,Single Cell,,428690,439,27,0,282919,0.66,399868,93.3,399868,93.3,427,97.27,12,2.73,0,0,0,0,0,0,11,0,0,0,0,0,0,0,348,79.27,79,18,0,0,29,6.61,0,0,0,0,24,5.47,0,0,288,65.6,126,28.7,350,79.73,118,26.88,131,29.84,139,31.66,288,65.6,203,46.24,224,51.03,116,26.42,311,70.84,89,20.27,36,8.2,31,7.06,0,0,7,1.59,71,16.17,68,15.49,0,0,0,0,240,109,364,122,0,0,430,97.95,38,0,0,0,244,55.58
2724679625,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_F13 (contamination screened),DOE Joint Genome Institute (JGI),2724679625,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,121297,1110289,Microbial Minimal Draft Single Cell Screened Genome,Single Cell Analysis (screened),Ga0182502,Single Cell Analysis (screened),Gp0207907,Gs0128773,2017-04-11,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-21,JGI 01_F13,Primary,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,25 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110289,1933,22.6617,,,157.9972,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_F13,,,,0,,0,0,0,0,,,,,,,,,,"Illumina MiSeq, Illumina NextSeq-MO",,,,,Single Cell,,670183,772,31,0,217132,0.32,648062,96.8,648062,96.8,735,95.21,37,4.79,5,1,2,0,2,0,29,3,0,0,0,0,0,0,565,73.19,170,22.02,0,0,34,4.4,0,0,0,0,37,4.79,0,0,483,62.56,179,23.19,573,74.22,247,31.99,224,29.02,243,31.48,492,63.73,366,47.41,369,47.8,205,26.55,530,68.65,157,20.34,72,9.33,47,6.09,0,0,25,3.24,204,26.42,529,68.52,0,0,0,0,427,163,603,258,0,0,772,100,38,0,0,0,376,48.7
2721756117,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_F13 (unscreened),DOE Joint Genome Institute (JGI),2721756117,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,121125,1110289,Microbial Minimal Draft Single Cell Raw Genome,Single Cell Analysis (unscreened),Ga0181281,Single Cell Analysis (unscreened),Gp0207907,Gs0128773,2017-03-23,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-10,JGI 01_F13,Reanalysis,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,25 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110289,1933,22.6617,,,157.9972,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_F13,,,,0,,0,0,0,0,,,,,,,,,,"Illumina MiSeq, Illumina NextSeq-MO",,,,,Single Cell,,770151,905,51,0,249683,0.32,744949,96.82,744949,96.82,862,95.25,43,4.75,5,1,2,0,2,0,35,3,0,0,0,0,0,0,679,75.03,183,20.22,0,0,38,4.2,0,0,0,0,43,4.75,0,0,561,61.99,208,22.98,688,76.02,309,34.14,266,29.39,298,32.93,564,62.32,439,48.51,423,46.74,245,27.07,617,68.18,189,20.88,79,8.73,66,7.29,0,0,27,2.98,232,25.64,623,68.84,0,0,0,0,490,185,721,315,0,0,905,100,58,0,0,0,463,51.16
2724679906,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_J9 (unscreened),DOE Joint Genome Institute (JGI),2724679906,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,123521,1110287,Microbial Minimal Draft Single Cell Raw Genome,Single Cell Analysis (unscreened),Ga0183512,Single Cell Analysis (unscreened),Gp0209557,Gs0128773,2017-04-11,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-21,JGI 01_J9,Reanalysis,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,25m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110287,1933,22.6617,,,157.9972,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_J9,,,,0,,0,0,0,0,,,,,,,,,,"Illumina MiSeq, Illumina NextSeq-MO",,,,,Single Cell,,336181,427,61,0,109446,0.33,323786,96.31,323786,96.31,422,98.83,5,1.17,1,0,1,0,0,0,4,0,0,0,0,0,0,0,309,72.37,113,26.46,0,0,10,2.34,0,0,0,0,26,6.09,0,0,232,54.33,86,20.14,316,74,128,29.98,117,27.4,131,30.68,291,68.15,177,41.45,245,57.38,109,25.53,313,73.3,81,18.97,38,8.9,20,4.68,0,0,10,2.34,111,26,305,71.43,0,0,0,0,215,81,353,135,0,0,426,99.77,63,0,0,0,223,52.22
2721755879,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_K9 (contamination screened),DOE Joint Genome Institute (JGI),2721755879,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,119496,1110686,Microbial Minimal Draft Single Cell Screened Genome,Single Cell Analysis (screened),Ga0181544,Single Cell Analysis (screened),Gp0207906,Gs0128773,2017-03-23,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-10,JGI 01_K9,Primary,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,200 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110686,1933,22.7519,,,158.008,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_K9,,,,0,,0,0,0,0,,,,,,,,,,Illumina NextSeq-HO,,,,,Single Cell,,844347,909,47,0,446564,0.53,792323,93.88,792323,93.88,894,98.35,15,1.65,0,0,0,0,0,0,13,0,0,0,0,0,0,0,705,77.56,189,20.79,0,0,148,16.28,0,0,0,0,55,6.05,0,0,611,67.22,269,29.59,735,80.86,218,23.98,239,26.29,258,28.38,636,69.97,385,42.35,509,56,213,23.43,681,74.92,150,16.5,62,6.82,53,5.83,0,0,22,2.42,144,15.84,761,83.72,0,0,0,0,409,172,567,215,0,0,908,99.89,65,0,0,0,495,54.46
2721755867,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",Acidimicrobiales bacterium JGI 01_K9 (unscreened),DOE Joint Genome Institute (JGI),2721755867,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified,unclassified,Yes,0,119417,1110686,Microbial Minimal Draft Single Cell Raw Genome,Single Cell Analysis (unscreened),Ga0181209,Single Cell Analysis (unscreened),Gp0207906,Gs0128773,2017-03-23,spades v. 3.9.0,,,2017-05-01,,No,,No,Yes,84993,0,0,2017-04-10,JGI 01_K9,Reanalysis,,,,edelong@hawaii.edu; dkarl@hawaii.edu; dboeuf@hawaii.edu,Edward DeLong; David Karl; Dominique Boeuf,,,,,,,,,edelong@hawaii.edu,Edward DeLong,,No,200 m,,Environmental,Aquatic,Oceanic,Marine,,,,Pacific Ocean: North Pacific Subtropical Gyre,,Level 1: Standard Draft,Whole Genome Sequencing,,,,,,,,,1110686,1933,22.7519,,,158.008,,,,,,,,,,,Acidimicrobiales bacterium JGI 01_K9,,,,0,,0,0,0,0,,,,,,,,,,Illumina NextSeq-HO,,,,,Single Cell,,1119154,1243,108,0,590907,0.53,1052802,94.12,1052802,94.12,1225,98.55,18,1.45,0,0,0,0,0,0,16,0,0,0,0,0,0,0,969,77.96,256,20.6,0,0,200,16.09,0,0,0,0,73,5.87,0,0,784,63.07,335,26.95,1007,81.01,310,24.94,309,24.86,333,26.79,892,71.76,505,40.63,720,57.92,273,21.96,952,76.59,196,15.77,80,6.44,67,5.39,0,0,26,2.09,189,15.21,1005,80.85,0,0,0,0,510,211,724,294,0,0,1242,99.92,129,0,0,0,702,56.48
