Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_2506535004_Rahaq_Contig67,4366,VIRSorter_2506535004_Rahaq_Contig67-gene_1451-gene_1487,37,1,8,gene_1451-gene_1487:15.90438678454799,,gene_1451-gene_1487:10.41086961611563,,,
VIRSorter_2506535004_Rahaq_Contig67,4366,VIRSorter_2506535004_Rahaq_Contig67-gene_703-gene_723,21,1,5,gene_703-gene_723:8.32385118207645,,gene_703-gene_723:6.38971315857720,,,
VIRSorter_2517601749_PseMAI1DRAFT_chromosome1_1,3988,VIRSorter_2517601749_PseMAI1DRAFT_chromosome1_1-gene_1412-gene_1463,52,1,2,gene_1412-gene_1463:14.82468231822834,,gene_1412-gene_1461:16.92089643943918,,,
VIRSorter_2518681435_CP003677,4382,VIRSorter_2518681435_CP003677-gene_1360-gene_1414,55,1,3,gene_1360-gene_1414:8.34833742905898,,gene_1360-gene_1414:24.63140563570327,,,
VIRSorter_2531928811_AFAF02000002,2547,VIRSorter_2531928811_AFAF02000002-gene_1980-gene_2029,50,1,8,gene_1980-gene_2029:19.83891301405390,,gene_1982-gene_2029:15.91005829742688,,,
VIRSorter_2531928811_AFAF02000002,2547,VIRSorter_2531928811_AFAF02000002-gene_2-gene_48,47,1,2,gene_2-gene_48:17.38839328804496,,gene_2-gene_46:11.56971426231372,,,
VIRSorter_2531928811_AFAF02000002,2547,VIRSorter_2531928811_AFAF02000002-gene_344-gene_411,68,1,3,gene_344-gene_411:34.95737050441225,,gene_344-gene_411:29.74581380093465,,,
VIRSorter_2531928811_AFAF02000002,2547,VIRSorter_2531928811_AFAF02000002-gene_548-gene_592,45,1,6,gene_548-gene_592:24.64070423743108,,gene_548-gene_592:16.95676430006293,,,
VIRSorter_2585443448_CP008749,5702,VIRSorter_2585443448_CP008749-gene_624-gene_660,37,1,2,gene_624-gene_660:4.93738243184437,,gene_624-gene_660:4.58661268032931,,,
VIRSorter_2645740654_Ga0046402_11,3121,VIRSorter_2645740654_Ga0046402_11-gene_2461-gene_2507,47,1,2,gene_2461-gene_2507:5.96219521759958,,gene_2461-gene_2507:13.89319479239104,,,
VIRSorter_2654591743_Ga0102989_11,3044,VIRSorter_2654591743_Ga0102989_11-gene_1182-gene_1241,60,1,3,gene_1182-gene_1241:13.02819700856768,,gene_1182-gene_1241:31.84477956828957,,,
VIRSorter_2667530436_Ga0079822_11,6121,VIRSorter_2667530436_Ga0079822_11-gene_1175-gene_1219,45,1,2,gene_1175-gene_1219:15.38354162995882,,gene_1177-gene_1219:13.88267684071045,,,
VIRSorter_2690318780_Ga0045920_11,3514,VIRSorter_2690318780_Ga0045920_11-gene_2185-gene_2236,52,1,4,gene_2185-gene_2236:40.69537515527480,,gene_2185-gene_2236:26.56151765613084,,,
VIRSorter_637000099_NC_002977,3047,VIRSorter_637000099_NC_002977-gene_2834-gene_2895,62,1,3,gene_2834-gene_2895:3.75032402529499,,gene_2834-gene_2895:11.15901167582007,,,
VIRSorter_637000180_NC_004347,4417,VIRSorter_637000180_NC_004347-gene_2447-gene_2499,53,1,3,gene_2447-gene_2499:18.03916409277137,,gene_2447-gene_2499:21.70383218795784,,gene_2449-gene_2499:2.06875279903566,
VIRSorter_641522614_NC_010322,5476,VIRSorter_641522614_NC_010322-gene_1726-gene_1770,45,1,4,gene_1726-gene_1770:14.14016516186802,,gene_1726-gene_1770:19.90908006138034,,,
VIRSorter_641522729_NC_010674,3507,VIRSorter_641522729_NC_010674-gene_2172-gene_2223,52,1,4,gene_2172-gene_2223:40.69625467571812,,gene_2172-gene_2223:26.56239717657417,,,
VIRSorter_642555150_NC_010682,3763,VIRSorter_642555150_NC_010682-gene_2531-gene_2540,10,1,1,,gene_2531-gene_2540:4.57895159331484,,,,
VIRSorter_643348578_NC_011566,4565,VIRSorter_643348578_NC_011566-gene_2273-gene_2282,10,1,2,,gene_2273-gene_2282:4.44807063440724,,,,
VIRSorter_644736348_NC_012779,3544,VIRSorter_644736348_NC_012779-gene_2798-gene_2836,39,1,8,gene_2798-gene_2836:17.69945291974174,,gene_2798-gene_2834:11.87953892696047,,,
VIRSorter_645075742_NZ_ACFQ01000009-circular,1014,VIRSorter_645075742_NZ_ACFQ01000009-circular-gene_8-gene_22,15,1,1,gene_8-gene_18:5.38087295320232,gene_8-gene_22:10.00366168338128,gene_8-gene_22:4.96186514690146,,,
VIRSorter_645075742_NZ_ACFQ01000009-circular,1014,VIRSorter_645075742_NZ_ACFQ01000009-circular-gene_840-gene_893,54,1,3,gene_840-gene_893:28.02748373316242,,gene_840-gene_893:26.44380834570654,,gene_842-gene_893:2.87661147318573,
VIRSorter_647533937_NZ_DS999412-circular,4631,VIRSorter_647533937_NZ_DS999412-circular-gene_1745-gene_1810,66,1,2,gene_1745-gene_1810:3.31549956216265,,gene_1749-gene_1810:25.72675726529552,gene_1761-gene_1788:5.08289462575521,gene_1747-gene_1808:2.27610262377815,
VIRSorter_2501535694_Dpe_Contig10279,2478,VIRSorter_2501535694_Dpe_Contig10279-gene_1-gene_61,61,2,2,,,gene_1-gene_61:13.79758942067429,gene_1-gene_56:4.80877234737371,,gene_28-gene_52:3.56871886059833
VIRSorter_2501535694_Dpe_Contig10279,2478,VIRSorter_2501535694_Dpe_Contig10279-gene_333-gene_409,77,2,2,,,gene_333-gene_409:15.23015540610131,gene_334-gene_386:4.99359109901352,,
VIRSorter_2502376843_Phi_scaffold00167,2665,VIRSorter_2502376843_Phi_scaffold00167-gene_1690-gene_1811,122,2,3,,,gene_1690-gene_1745:20.75182474053349;gene_1767-gene_1811:9.26462896437982,gene_1705-gene_1802:12.43427477027450,,
VIRSorter_2502873287_VVBT1270_Chromosome,4526,VIRSorter_2502873287_VVBT1270_Chromosome-gene_1429-gene_1484,56,2,3,gene_1445-gene_1483:10.74780930468054,,gene_1429-gene_1484:20.51812981747807,,,
VIRSorter_2502873287_VVBT1270_Chromosome,4526,VIRSorter_2502873287_VVBT1270_Chromosome-gene_143-gene_157,15,2,,gene_143-gene_157:3.13944151246224,,,,,
VIRSorter_2502873287_VVBT1270_Chromosome,4526,VIRSorter_2502873287_VVBT1270_Chromosome-gene_2779-gene_2833,55,2,4,,,gene_2779-gene_2833:17.17164375757674,,,
VIRSorter_2502873287_VVBT1270_Chromosome,4526,VIRSorter_2502873287_VVBT1270_Chromosome-gene_4244-gene_4343,100,2,1,,,gene_4244-gene_4343:6.62677774973403,gene_4244-gene_4342:4.39191929424471,,
VIRSorter_2503242000_Pagar_P__agardhii_200,4443,VIRSorter_2503242000_Pagar_P__agardhii_200-gene_441-gene_450,10,2,,gene_441-gene_450:2.00532055084205,,,,,
VIRSorter_2503538459_Ttoyo_unknown,3355,VIRSorter_2503538459_Ttoyo_unknown-gene_1937-gene_1998,62,2,2,,,gene_1937-gene_1998:25.86869265339250,gene_1940-gene_1998:6.90291005436059,,gene_1956-gene_1998:3.53655234937702
VIRSorter_2503538459_Ttoyo_unknown,3355,VIRSorter_2503538459_Ttoyo_unknown-gene_2030-gene_2113,84,2,3,,,gene_2035-gene_2103:19.24418029517239,gene_2030-gene_2113:2.37498757051386,gene_2044-gene_2094:2.18989248769217,
VIRSorter_2503538459_Ttoyo_unknown,3355,VIRSorter_2503538459_Ttoyo_unknown-gene_2035-gene_2103,69,2,3,gene_2044-gene_2103:2.31209033862652,,gene_2035-gene_2103:21.70930212389324,,gene_2044-gene_2094:2.18989248769217,
VIRSorter_2505680455_Contig3,5043,VIRSorter_2505680455_Contig3-gene_1219-gene_1267,49,2,4,,,gene_1219-gene_1267:17.63414463367216,gene_1220-gene_1267:7.51238327553580,,
VIRSorter_2505680461_unknown,5454,VIRSorter_2505680461_unknown-gene_294-gene_349,56,2,1,,,gene_294-gene_349:21.92137621080698,gene_296-gene_348:12.30220945128280,,
VIRSorter_2506213072_Contig398,4215,VIRSorter_2506213072_Contig398-gene_1804-gene_1865,62,2,6,gene_1804-gene_1858:9.34754948069962,,gene_1804-gene_1865:21.38352395318329,,,
VIRSorter_2506213072_Contig398,4215,VIRSorter_2506213072_Contig398-gene_4176-gene_4195,20,2,2,,,gene_4176-gene_4195:2.88957607888837,,,
VIRSorter_2506384651_Contig510,4933,VIRSorter_2506384651_Contig510-gene_49-gene_99,51,2,1,,,gene_53-gene_99:16.41728074000752,gene_49-gene_98:7.60039048225476,,
VIRSorter_2506384651_Contig510,4933,VIRSorter_2506384651_Contig510-gene_533-gene_580,48,2,2,,,gene_533-gene_580:15.61844975781839,gene_533-gene_580:8.52232727532290,,
VIRSorter_2506535004_Rahaq_Contig67,4366,VIRSorter_2506535004_Rahaq_Contig67-gene_3170-gene_3206,37,2,8,gene_3171-gene_3200:11.45914510601555,,gene_3170-gene_3206:11.78768560174097,,,
VIRSorter_2506535022_Contig733,4613,VIRSorter_2506535022_Contig733-gene_3198-gene_3257,60,2,2,,,gene_3198-gene_3257:8.11813313688709,,,
VIRSorter_2506535022_Contig733,4613,VIRSorter_2506535022_Contig733-gene_628-gene_691,64,2,3,gene_643-gene_676:2.73079518401459,,gene_628-gene_691:23.95623801312379,gene_677-gene_691:4.28526678773906,,
VIRSorter_2506842945_Desaci_Contig243_1,4544,VIRSorter_2506842945_Desaci_Contig243_1-gene_1159-gene_1400,242,2,4,gene_1211-gene_1259:5.26868292774431,,gene_1222-gene_1321:24.19547692721601;gene_1328-gene_1400:7.70391046070834,gene_1289-gene_1388:9.34020262361622;gene_1159-gene_1231:2.79416512561104,,gene_1175-gene_1231:3.95431069009518
VIRSorter_2506842945_Desaci_Contig243_1,4544,VIRSorter_2506842945_Desaci_Contig243_1-gene_1876-gene_1953,78,2,1,,,gene_1876-gene_1953:15.48727874372573,gene_1876-gene_1953:10.90074654368786,,
VIRSorter_2507154666_Desme_Contig76_1,3071,VIRSorter_2507154666_Desme_Contig76_1-gene_1711-gene_1762,52,2,1,,,gene_1711-gene_1762:15.56950226094772,gene_1714-gene_1762:8.25842265890964,,
VIRSorter_2507267694_KS100_Contig_1,2865,VIRSorter_2507267694_KS100_Contig_1-gene_2020-gene_2084,65,2,1,,,gene_2020-gene_2084:5.78551067145883,gene_2020-gene_2084:3.62849471635976,,
