Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_2518681435_CP003677,4382,VIRSorter_2518681435_CP003677-gene_1360-gene_1411,52,1,3,gene_1360-gene_1411:2.83179096058662,,gene_1360-gene_1409:24.27650588618120,,,
VIRSorter_2526166977_SER39009_Serratia_39006_draft_12-05-13_1,4403,VIRSorter_2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2588-gene_2649,62,1,3,gene_2588-gene_2649:13.80194831039812,,gene_2588-gene_2649:25.43125468769136,,,
VIRSorter_2506213072_Contig398,4215,VIRSorter_2506213072_Contig398-gene_1804-gene_1865,62,2,6,gene_1804-gene_1858:4.35407936340597,,gene_1804-gene_1865:22.54251269355925,,,
VIRSorter_2506213072_Contig398,4215,VIRSorter_2506213072_Contig398-gene_4176-gene_4195,20,2,1,,,gene_4176-gene_4195:4.61915604453582,,,
VIRSorter_2506485008_Contig317,4900,VIRSorter_2506485008_Contig317-gene_863-gene_960,98,2,3,,,gene_863-gene_960:31.44035106972052,gene_864-gene_960:12.85298437106576,,
VIRSorter_2507267694_KS100_Contig_1,2865,VIRSorter_2507267694_KS100_Contig_1-gene_192-gene_273,82,2,1,,,gene_192-gene_273:11.53466825361834,gene_203-gene_232:5.77850861202254,,
VIRSorter_2507267694_KS100_Contig_1,2865,VIRSorter_2507267694_KS100_Contig_1-gene_2020-gene_2098,79,2,1,,,gene_2020-gene_2098:10.06044801409356,gene_2020-gene_2084:3.59869943173860,,
VIRSorter_2507267694_KS100_Contig_1,2865,VIRSorter_2507267694_KS100_Contig_1-gene_2693-gene_2762,70,2,1,,,gene_2693-gene_2762:8.95868757232921,gene_2736-gene_2753:3.51704924432893,,
VIRSorter_2507281626_Sbal625_Contig118_1,4363,VIRSorter_2507281626_Sbal625_Contig118_1-gene_2046-gene_2094,49,2,4,,,gene_2046-gene_2094:8.83203967399913,,,
VIRSorter_2507281626_Sbal625_Contig118_1,4363,VIRSorter_2507281626_Sbal625_Contig118_1-gene_2172-gene_2219,48,2,,,gene_2192-gene_2212:2.89894553668327,gene_2172-gene_2219:12.68530651438125,gene_2172-gene_2219:5.45464093823868,,gene_2174-gene_2215:2.75033895147907
VIRSorter_2511244427_NC_016078,3849,VIRSorter_2511244427_NC_016078-gene_672-gene_764,93,2,5,gene_691-gene_764:2.21637756995165,,gene_672-gene_733:28.69982469016216,,,
VIRSorter_2511244427_NC_016078,3849,VIRSorter_2511244427_NC_016078-gene_909-gene_925,17,2,1,,,gene_909-gene_925:4.24656208613868,,,
VIRSorter_2512205695_CP002987,3683,VIRSorter_2512205695_CP002987-gene_3164-gene_3224,61,2,6,,,gene_3164-gene_3224:29.81041756212601,gene_3189-gene_3224:5.80852581904423,,
VIRSorter_2512205695_CP002987,3683,VIRSorter_2512205695_CP002987-gene_3566-gene_3646,81,2,6,gene_3590-gene_3646:2.44000001713675,,gene_3566-gene_3643:31.21136499606109,,,gene_3570-gene_3641:3.78372788569503
VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6,3405,VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6-gene_1-gene_35,35,2,1,,,gene_1-gene_33:7.48212455943115,gene_1-gene_35:3.33652174120378,,
VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6,3405,VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6-gene_2735-gene_2790,56,2,1,gene_2745-gene_2779:2.10657972193813,,gene_2735-gene_2790:21.72496910105419,,,
VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6,3405,VIRSorter_2512211939_PhacaeDRAFT_Scaffold1_6-gene_3312-gene_3405,94,2,4,,,gene_3312-gene_3405:20.47692943031494,gene_3366-gene_3396:11.83691483645620,,gene_3371-gene_3394:7.64590228711917
VIRSorter_2512564983_OA238_c,5604,VIRSorter_2512564983_OA238_c-gene_4348-gene_4433,86,2,1,,,gene_4348-gene_4433:19.93412987425982,,,
VIRSorter_2512569605_Leime_Contig76_3,4053,VIRSorter_2512569605_Leime_Contig76_3-gene_1289-gene_1360,72,2,3,,,gene_1289-gene_1360:31.88991391370386,gene_1290-gene_1355:6.07340857561969,,
VIRSorter_2512569605_Leime_Contig76_3,4053,VIRSorter_2512569605_Leime_Contig76_3-gene_1786-gene_1861,76,2,3,,,gene_1786-gene_1861:4.12037581527173,,,
VIRSorter_2512569605_Leime_Contig76_3,4053,VIRSorter_2512569605_Leime_Contig76_3-gene_2139-gene_2184,46,2,3,,,gene_2139-gene_2184:18.28722241645200,,,
VIRSorter_2512569605_Leime_Contig76_3,4053,VIRSorter_2512569605_Leime_Contig76_3-gene_3039-gene_3094,56,2,2,,,gene_3039-gene_3094:9.69281179873232,,,
