"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","IMG.Genome.ID"
"2506535004_Rahaq_Contig67",4366,"2506535004_Rahaq_Contig67-gene_1451-gene_1487",37,1,8,"gene_1451-gene_1487:15.90438678454799","","gene_1451-gene_1487:10.41086961611563","","","","2506535004"
"2506535004_Rahaq_Contig67",4366,"2506535004_Rahaq_Contig67-gene_703-gene_723",21,1,5,"gene_703-gene_723:8.32385118207645","","gene_703-gene_723:6.38971315857720","","","","2506535004"
"2517601749_PseMAI1DRAFT_chromosome1_1",3988,"2517601749_PseMAI1DRAFT_chromosome1_1-gene_1412-gene_1463",52,1,2,"gene_1412-gene_1463:14.82468231822834","","gene_1412-gene_1461:16.92089643943918","","","","2517601749"
"2518681435_CP003677",4382,"2518681435_CP003677-gene_1360-gene_1414",55,1,3,"gene_1360-gene_1414:8.34833742905898","","gene_1360-gene_1414:24.63140563570327","","","","2518681435"
"2531928811_AFAF02000002",2547,"2531928811_AFAF02000002-gene_1980-gene_2029",50,1,8,"gene_1980-gene_2029:19.83891301405390","","gene_1982-gene_2029:15.91005829742688","","","","2531928811"
"2531928811_AFAF02000002",2547,"2531928811_AFAF02000002-gene_2-gene_48",47,1,2,"gene_2-gene_48:17.38839328804496","","gene_2-gene_46:11.56971426231372","","","","2531928811"
"2531928811_AFAF02000002",2547,"2531928811_AFAF02000002-gene_344-gene_411",68,1,3,"gene_344-gene_411:34.95737050441225","","gene_344-gene_411:29.74581380093465","","","","2531928811"
"2531928811_AFAF02000002",2547,"2531928811_AFAF02000002-gene_548-gene_592",45,1,6,"gene_548-gene_592:24.64070423743108","","gene_548-gene_592:16.95676430006293","","","","2531928811"
"2585443448_CP008749",5702,"2585443448_CP008749-gene_624-gene_660",37,1,2,"gene_624-gene_660:4.93738243184437","","gene_624-gene_660:4.58661268032931","","","","2585443448"
"2645740654_Ga0046402_11",3121,"2645740654_Ga0046402_11-gene_2461-gene_2507",47,1,2,"gene_2461-gene_2507:5.96219521759958","","gene_2461-gene_2507:13.89319479239104","","","","2645740654"
"2654591743_Ga0102989_11",3044,"2654591743_Ga0102989_11-gene_1182-gene_1241",60,1,3,"gene_1182-gene_1241:13.02819700856768","","gene_1182-gene_1241:31.84477956828957","","","","2654591743"
"2667530436_Ga0079822_11",6121,"2667530436_Ga0079822_11-gene_1175-gene_1219",45,1,2,"gene_1175-gene_1219:15.38354162995882","","gene_1177-gene_1219:13.88267684071045","","","","2667530436"
"2690318780_Ga0045920_11",3514,"2690318780_Ga0045920_11-gene_2185-gene_2236",52,1,4,"gene_2185-gene_2236:40.69537515527480","","gene_2185-gene_2236:26.56151765613084","","","","2690318780"
"637000099_NC_002977",3047,"637000099_NC_002977-gene_2834-gene_2895",62,1,3,"gene_2834-gene_2895:3.75032402529499","","gene_2834-gene_2895:11.15901167582007","","","","637000099"
"637000180_NC_004347",4417,"637000180_NC_004347-gene_2447-gene_2499",53,1,3,"gene_2447-gene_2499:18.03916409277137","","gene_2447-gene_2499:21.70383218795784","","gene_2449-gene_2499:2.06875279903566","","637000180"
"641522614_NC_010322",5476,"641522614_NC_010322-gene_1726-gene_1770",45,1,4,"gene_1726-gene_1770:14.14016516186802","","gene_1726-gene_1770:19.90908006138034","","","","641522614"
"641522729_NC_010674",3507,"641522729_NC_010674-gene_2172-gene_2223",52,1,4,"gene_2172-gene_2223:40.69625467571812","","gene_2172-gene_2223:26.56239717657417","","","","641522729"
"642555150_NC_010682",3763,"642555150_NC_010682-gene_2531-gene_2540",10,1,1,"","gene_2531-gene_2540:4.57895159331484","","","","","642555150"
"643348578_NC_011566",4565,"643348578_NC_011566-gene_2273-gene_2282",10,1,2,"","gene_2273-gene_2282:4.44807063440724","","","","","643348578"
"644736348_NC_012779",3544,"644736348_NC_012779-gene_2798-gene_2836",39,1,8,"gene_2798-gene_2836:17.69945291974174","","gene_2798-gene_2834:11.87953892696047","","","","644736348"
"645075742_NZ_ACFQ01000009-circular",1014,"645075742_NZ_ACFQ01000009-circular-gene_8-gene_22",15,1,1,"gene_8-gene_18:5.38087295320232","gene_8-gene_22:10.00366168338128","gene_8-gene_22:4.96186514690146","","","","645075742"
"645075742_NZ_ACFQ01000009-circular",1014,"645075742_NZ_ACFQ01000009-circular-gene_840-gene_893",54,1,3,"gene_840-gene_893:28.02748373316242","","gene_840-gene_893:26.44380834570654","","gene_842-gene_893:2.87661147318573","","645075742"
"647533937_NZ_DS999412-circular",4631,"647533937_NZ_DS999412-circular-gene_1745-gene_1810",66,1,2,"gene_1745-gene_1810:3.31549956216265","","gene_1749-gene_1810:25.72675726529552","gene_1761-gene_1788:5.08289462575521","gene_1747-gene_1808:2.27610262377815","","647533937"
"2501535694_Dpe_Contig10279",2478,"2501535694_Dpe_Contig10279-gene_1-gene_61",61,2,2,"","","gene_1-gene_61:13.79758942067429","gene_1-gene_56:4.80877234737371","","gene_28-gene_52:3.56871886059833","2501535694"
"2501535694_Dpe_Contig10279",2478,"2501535694_Dpe_Contig10279-gene_333-gene_409",77,2,2,"","","gene_333-gene_409:15.23015540610131","gene_334-gene_386:4.99359109901352","","","2501535694"
"2502376843_Phi_scaffold00167",2665,"2502376843_Phi_scaffold00167-gene_1690-gene_1811",122,2,3,"","","gene_1690-gene_1745:20.75182474053349;gene_1767-gene_1811:9.26462896437982","gene_1705-gene_1802:12.43427477027450","","","2502376843"
"2502873287_VVBT1270_Chromosome",4526,"2502873287_VVBT1270_Chromosome-gene_1429-gene_1484",56,2,3,"gene_1445-gene_1483:10.74780930468054","","gene_1429-gene_1484:20.51812981747807","","","","2502873287"
"2502873287_VVBT1270_Chromosome",4526,"2502873287_VVBT1270_Chromosome-gene_143-gene_157",15,2,NA,"gene_143-gene_157:3.13944151246224","","","","","","2502873287"
"2502873287_VVBT1270_Chromosome",4526,"2502873287_VVBT1270_Chromosome-gene_2779-gene_2833",55,2,4,"","","gene_2779-gene_2833:17.17164375757674","","","","2502873287"
"2502873287_VVBT1270_Chromosome",4526,"2502873287_VVBT1270_Chromosome-gene_4244-gene_4343",100,2,1,"","","gene_4244-gene_4343:6.62677774973403","gene_4244-gene_4342:4.39191929424471","","","2502873287"
"2503242000_Pagar_P__agardhii_200",4443,"2503242000_Pagar_P__agardhii_200-gene_441-gene_450",10,2,NA,"gene_441-gene_450:2.00532055084205","","","","","","2503242000"
"2503538459_Ttoyo_unknown",3355,"2503538459_Ttoyo_unknown-gene_1937-gene_1998",62,2,2,"","","gene_1937-gene_1998:25.86869265339250","gene_1940-gene_1998:6.90291005436059","","gene_1956-gene_1998:3.53655234937702","2503538459"
"2503538459_Ttoyo_unknown",3355,"2503538459_Ttoyo_unknown-gene_2030-gene_2113",84,2,3,"","","gene_2035-gene_2103:19.24418029517239","gene_2030-gene_2113:2.37498757051386","gene_2044-gene_2094:2.18989248769217","","2503538459"
"2503538459_Ttoyo_unknown",3355,"2503538459_Ttoyo_unknown-gene_2035-gene_2103",69,2,3,"gene_2044-gene_2103:2.31209033862652","","gene_2035-gene_2103:21.70930212389324","","gene_2044-gene_2094:2.18989248769217","","2503538459"
"2505680455_Contig3",5043,"2505680455_Contig3-gene_1219-gene_1267",49,2,4,"","","gene_1219-gene_1267:17.63414463367216","gene_1220-gene_1267:7.51238327553580","","","2505680455"
"2505680461_unknown",5454,"2505680461_unknown-gene_294-gene_349",56,2,1,"","","gene_294-gene_349:21.92137621080698","gene_296-gene_348:12.30220945128280","","","2505680461"
"2506213072_Contig398",4215,"2506213072_Contig398-gene_1804-gene_1865",62,2,6,"gene_1804-gene_1858:9.34754948069962","","gene_1804-gene_1865:21.38352395318329","","","","2506213072"
"2506213072_Contig398",4215,"2506213072_Contig398-gene_4176-gene_4195",20,2,2,"","","gene_4176-gene_4195:2.88957607888837","","","","2506213072"
